time x y z V_A gamma chi
0 37.5 0 0 15 -0 0
0.504482 37.5 0 0 15 -0 0
1.00896 42.0403 0 0 15 -0 0
1.51345 46.5807 0 0 15 -0 0
2.01793 51.121 0 0 15 -0 0
2.52241 55.6613 0 0 15 -0 0
3.02689 60.2017 0 0 15 -0 0
3.53137 64.742 0 0 15 -0 0
4.03585 69.2824 0 0 15 -0 0
4.54034 73.8227 0 0 15 0.0660853 6.21696
4.80109 73.8227 0 0 15 0.0660853 6.21696
5.06185 76.1654 -0.155384 -0.155384 15 0.131402 6.15063
5.45252 76.1654 -0.155384 -0.155384 15 0.131402 6.15063
5.84319 79.6446 -0.619279 -0.619279 15 0.131402 6.15063
6.23387 83.1238 -1.08317 -1.08317 15 0.131402 6.15063
6.62454 86.603 -1.54707 -1.54707 15 0.131402 6.15063
7.01521 90.0822 -2.01096 -2.01096 15 0.131402 6.15063
7.40588 93.5614 -2.47486 -2.47486 15 0.131402 6.15063
7.79655 97.0406 -2.93875 -2.93875 15 0.131402 6.15063
8.18722 100.52 -3.40264 -3.40264 15 0.131402 6.15063
8.5779 103.999 -3.86654 -3.86654 15 0.131402 6.15063
8.96857 107.478 -4.33043 -4.33043 15 0.131402 6.15063
9.35924 110.957 -4.79433 -4.79433 15 0.131402 6.15063
9.74991 114.437 -5.25822 -5.25822 15 0.131402 6.15063
10.1406 117.916 -5.72212 -5.72212 15 0.131402 6.15063
10.5313 121.395 -6.18601 -6.18601 15 0.131402 6.15063
10.9219 124.874 -6.6499 -6.6499 15 0.131402 6.15063
11.3126 128.353 -7.1138 -7.1138 15 0.131402 6.15063
11.7033 131.833 -7.57769 -7.57769 15 0.131402 6.15063
12.0939 135.312 -8.04159 -8.04159 15 0.131402 6.15063
12.4846 138.791 -8.50548 -8.50548 15 0.131402 6.15063
12.8753 142.27 -8.96937 -8.96937 15 0.131402 6.15063
13.266 145.75 -9.43327 -9.43327 15 0.131402 6.15063
13.6566 149.229 -9.89716 -9.89716 15 0.131402 6.15063
14.0473 152.708 -10.3611 -10.3611 15 0.131402 6.15063
14.438 156.187 -10.825 -10.825 15 0.131402 6.15063
14.8286 159.666 -11.2888 -11.2888 15 0.131402 6.15063
15.2193 163.146 -11.7527 -11.7527 15 0.131402 6.15063
15.61 166.625 -12.2166 -12.2166 15 0.131402 6.15063
16.0007 170.104 -12.6805 -12.6805 15 0.131402 6.15063
16.3913 173.583 -13.1444 -13.1444 15 0.131402 6.15063
16.782 177.062 -13.6083 -13.6083 15 0.131402 6.15063
17.1727 180.542 -14.0722 -14.0722 15 0.131402 6.15063
17.5633 184.021 -14.5361 -14.5361 15 0.131402 6.15063
