time x y z V_A gamma chi
0 37.5 0 0 15 -0 0
0.285286 37.5 0 0 15 -0 0
0.570571 41.7793 0 0 15 -0 0
0.855857 46.0586 0 0 15 -0 0
1.14114 50.3379 0 0 15 -0 0
1.42643 54.6171 0 0 15 -0 0
1.71171 58.8964 0 0 15 -0 0
1.997 63.1757 0 0 15 -0 0
2.28228 67.455 0 0 15 -0 0
2.56757 71.7343 0 0 15 0.0252329 0.0331379
2.78497 71.7343 0 0 15 0.0252329 0.0331379
3.00236 74.9928 0.108021 -0.0822857 15 0.106736 0.0994136
3.21976 78.2371 0.431611 -0.431611 15 0.131402 0.132552
3.4514 78.2371 0.431611 -0.431611 15 0.131402 0.132552
3.68304 81.6516 0.886873 -0.886873 15 0.131402 0.132552
3.91469 85.066 1.34214 -1.34214 15 0.131402 0.132552
4.14633 88.4805 1.7974 -1.7974 15 0.131402 0.132552
4.37797 91.8949 2.25266 -2.25266 15 0.131402 0.132552
4.60961 95.3094 2.70792 -2.70792 15 0.131402 0.132552
4.84126 98.7239 3.16318 -3.16318 15 0.131402 0.132552
5.0729 102.138 3.61845 -3.61845 15 0.131402 0.132552
5.30454 105.553 4.07371 -4.07371 15 0.131402 0.132552
5.53618 108.967 4.52897 -4.52897 15 0.131402 0.132552
5.76783 112.382 4.98423 -4.98423 15 0.131402 0.132552
5.99947 115.796 5.43949 -5.43949 15 0.131402 0.132552
6.23111 119.211 5.89476 -5.89476 15 0.131402 0.132552
6.46275 122.625 6.35002 -6.35002 15 0.131402 0.132552
6.6944 126.04 6.80528 -6.80528 15 0.131402 0.132552
6.92604 129.454 7.26054 -7.26054 15 0.131402 0.132552
7.15768 132.869 7.71581 -7.71581 15 0.131402 0.132552
7.38932 136.283 8.17107 -8.17107 15 0.131402 0.132552
7.62097 139.697 8.62633 -8.62633 15 0.131402 0.132552
7.85261 143.112 9.08159 -9.08159 15 0.131402 0.132552
8.08425 146.526 9.53685 -9.53685 15 0.131402 0.132552
8.3159 149.941 9.99212 -9.99212 15 0.131402 0.132552
8.54754 153.355 10.4474 -10.4474 15 0.131402 0.132552
8.77918 156.77 10.9026 -10.9026 15 0.131402 0.132552
9.01082 160.184 11.3579 -11.3579 15 0.131402 0.132552
9.24247 163.599 11.8132 -11.8132 15 0.131402 0.132552
9.47411 167.013 12.2684 -12.2684 15 0.131402 0.132552
9.70575 170.428 12.7237 -12.7237 15 0.131402 0.132552
9.93739 173.842 13.179 -13.179 15 0.131402 0.132552
10.169 177.257 13.6342 -13.6342 15 0.131402 0.132552
10.4007 180.671 14.0895 -14.0895 15 0.131402 0.132552
10.6323 184.086 14.5447 -14.5447 15 0.131402 0.132552
10.864 187.5 15 -15 15 0.131402 0.132552
11.0804 187.5 15 -15 15 0.131402 0.132552
11.2968 190.69 15.4254 -15.4254 15 0.131402 0.132552
11.5133 193.881 15.8508 -15.8508 15 0.131402 0.132552
11.7297 197.071 16.2762 -16.2762 15 0.131402 0.132552
11.9462 200.262 16.7016 -16.7016 15 0.131402 0.132552
12.1626 203.452 17.1269 -17.1269 15 0.131402 0.132552
12.3791 206.642 17.5523 -17.5523 15 0.131402 0.132552
12.5955 209.833 17.9777 -17.9777 15 0.131402 0.132552
12.8119 213.023 18.4031 -18.4031 15 0.131402 0.132552
13.0284 216.214 18.8285 -18.8285 15 0.131402 0.132552
13.2448 219.404 19.2539 -19.2539 15 0.131402 0.132552
13.4613 222.594 19.6793 -19.6793 15 0.131402 0.132552
13.6777 225.785 20.1047 -20.1047 15 0.131402 0.132552
13.8942 228.975 20.53 -20.53 15 0.131402 0.132552
14.1106 232.166 20.9554 -20.9554 15 0.131402 0.132552
14.327 235.356 21.3808 -21.3808 15 0.131402 0.132552
14.5435 238.547 21.8062 -21.8062 15 0.131402 0.132552
14.7599 241.737 22.2316 -22.2316 15 0.131402 0.132552
14.9764 244.927 22.657 -22.657 15 0.131402 0.132552
15.1928 248.118 23.0824 -23.0824 15 0.131402 0.132552
15.4092 251.308 23.5078 -23.5078 15 0.131402 0.132552
15.6257 254.499 23.9331 -23.9331 15 0.131402 0.132552
15.8421 257.689 24.3585 -24.3585 15 0.131402 0.132552
16.0586 260.879 24.7839 -24.7839 15 0.131402 0.132552
16.275 264.07 25.2093 -25.2093 15 0.131402 0.132552
16.4915 267.26 25.6347 -25.6347 15 0.131402 0.132552
16.7079 270.451 26.0601 -26.0601 15 0.131402 0.132552
16.9243 273.641 26.4855 -26.4855 15 0.131402 0.132552
17.1408 276.831 26.9109 -26.9109 15 0.131402 0.132552
17.3572 280.022 27.3362 -27.3362 15 0.131402 0.132552
17.5737 283.212 27.7616 -27.7616 15 0.131402 0.132552
17.7901 286.403 28.187 -28.187 15 0.131402 0.132552
18.0066 289.593 28.6124 -28.6124 15 0.129641 0.106051
18.1804 289.593 28.6124 -28.6124 15 0.129641 0.106051
18.3543 292.164 28.886 -28.9494 15 0.119788 0.05305
18.5281 294.745 29.0231 -29.2606 15 0.102355 4.89302e-005
18.702 297.33 29.0232 -29.5261 15 0.0799944 6.23023
18.8758 299.911 28.8864 -29.7333 15 0.0555828 6.17723
19.0497 302.482 28.613 -29.8771 15 0.0322241 6.12423
19.2235 305.034 28.2039 -29.9605 15 0.0132256 6.07123
19.3974 307.561 27.6601 -29.9947 15 0.00206569 6.01823
19.5712 310.056 26.9831 -30 15 -0 5.99173
19.745 310.056 26.9831 -30 15 -0 5.99173
19.9188 312.553 26.2342 -30 15 -0 5.99173
20.0925 315.049 25.4852 -30 15 -0 5.99173
20.2663 317.546 24.7363 -30 15 -0 5.99173
20.44 320.042 23.9873 -30 15 -0 5.99173
20.6138 322.539 23.2384 -30 15 -0 5.99173
20.7876 325.035 22.4895 -30 15 -0 5.99173
20.9613 327.532 21.7405 -30 15 -0 5.99173
21.1351 330.028 20.9916 -30 15 -0 5.99173
21.3088 332.525 20.2426 -30 15 -0 5.99173
21.4826 335.021 19.4937 -30 15 -0 5.99173
21.6564 337.518 18.7447 -30 15 -0 5.99173
21.8301 340.014 17.9958 -30 15 -0 5.99173
22.0039 342.511 17.2468 -30 15 -0 5.99173
22.1776 345.007 16.4979 -30 15 -0 5.99173
22.3514 347.504 15.7489 -30 15 -0 5.99173
22.5252 350 15 -30 15 -0 5.99173
22.7126 350 15 -30 15 -0 5.99173
22.9 352.693 14.1922 -30 15 -0 5.99173
23.0874 355.385 13.3844 -30 15 -0 5.99173
23.2748 358.078 12.5766 -30 15 -0 5.99173
23.4622 360.771 11.7688 -30 15 -0 5.99173
23.6497 363.463 10.961 -30 15 -0 5.99173
23.8371 366.156 10.1531 -30 15 -0 5.99173
24.0245 368.849 9.34534 -30 15 -0 5.99173
24.2119 371.542 8.53753 -30 15 -0 5.99173
24.3993 374.234 7.72972 -30 15 -0 5.99173
24.5867 376.927 6.92191 -30 15 -0 5.99173
24.7742 379.62 6.11411 -30 15 -0 5.99173
24.9616 382.312 5.3063 -30 15 -0 5.99173
25.149 385.005 4.49849 -30 15 -0 5.99173
25.3364 387.698 3.69068 -30 15 -0 5.99173
25.5238 390.39 2.88287 -30 15 -0 5.99173
25.7112 393.083 2.07506 -30 15 -0 6.02816
25.9503 393.083 2.07506 -30 15 -0 6.02816
26.1893 396.552 1.17085 -30 15 -0 6.10102
26.4283 400.077 0.52153 -30 15 -0 6.17389
26.6673 403.639 0.130556 -30 15 -0 6.24675
26.9063 407.221 0 -30 15 -0 0
27.2026 407.221 0 -30 15 -0 0
27.4989 411.666 0 -30 15 -0 0
27.7952 416.111 0 -30 15 -0 0
28.0915 420.555 0 -30 15 -0 0
28.3878 425 0 -30 15 -0 0
28.6049 425 0 -30 15 -0 0
28.822 428.256 0 -30 15 -0 0
29.0391 431.513 0 -30 15 -0 6.23826
29.3339 431.513 0 -30 15 -0 6.23826
29.6286 435.928 -0.19849 -30 15 -0 6.1484
29.9233 440.307 -0.79236 -30 15 -0 6.05855
30.2181 444.616 -1.77682 -30 15 -0 5.9687
30.5128 448.819 -3.14392 -30 15 -0 5.87884
30.8075 452.882 -4.88264 -30 15 -0 5.78899
31.1023 456.773 -6.97894 -30 15 -0 5.69914
31.397 460.46 -9.41592 -30 15 -0 5.60928
31.6917 463.913 -12.1739 -30 15 -0 5.56436
31.9806 463.913 -12.1739 -30 15 -0 5.56436
32.2695 467.174 -15.0272 -30 15 -0 5.56436
32.5583 470.435 -17.8804 -30 15 -0 5.56436
32.8472 473.696 -20.7337 -30 15 -0 5.56436
33.1361 476.957 -23.587 -30 15 -0 5.56436
33.4249 480.217 -26.4402 -30 15 -0 5.56436
33.7138 483.478 -29.2935 -30 15 -0 5.56436
34.0026 486.739 -32.1467 -30 15 -0 5.56436
34.2915 490 -35 -30 15 -0 5.56436
34.3287 490 -35 -30 15 -0 5.56436
34.366 490.42 -35.3678 -30 15 -0 5.53877
34.5338 490.42 -35.3678 -30 15 -0 5.53877
34.7017 492.272 -37.0734 -30 15 -0 5.4876
34.8695 494.034 -38.8715 -30 15 -0 5.43644
35.0373 495.701 -40.7573 -30 15 -0 5.38527
35.2052 497.27 -42.7259 -30 15 -0 5.3341
35.373 498.736 -44.7722 -30 15 -0 5.28293
35.5409 500.096 -46.8907 -30 15 -0 5.23177
35.7087 501.345 -49.0761 -30 15 -0 5.1806
35.8765 502.481 -51.3225 -30 15 -0 5.12943
36.0444 503.501 -53.624 -30 15 -0 5.07826
36.2122 504.402 -55.9747 -30 15 -0 5.0271
36.3801 505.181 -58.3684 -30 15 -0 4.97593
36.5479 505.836 -60.7988 -30 15 -0 4.92476
36.7157 506.367 -63.2596 -30 15 -0 4.87359
36.8836 506.771 -65.7443 -30 15 -0 4.82242
37.0514 507.048 -68.2464 -30 15 -0 4.77126
37.2193 507.196 -70.7593 -30 15 -0 4.72009
37.3871 507.215 -73.2765 -30 15 -0 4.66892
37.5549 507.106 -75.7915 -30 15 -0 4.61775
37.7228 506.868 -78.2975 -30 15 -0 4.56659
37.8906 506.502 -80.7881 -30 15 -0 4.51542
38.0585 506.009 -83.2568 -30 15 -0 4.46425
38.2263 505.391 -85.697 -30 15 -0 4.41308
38.3941 504.649 -88.1024 -30 15 -0 4.36192
38.562 503.785 -90.4667 -30 15 -0 4.31075
38.7298 502.801 -92.7837 -30 15 -0 4.25958
38.8976 501.699 -95.0473 -30 15 -0 4.20841
39.0655 500.484 -97.2516 -30 15 -0 4.15725
39.2333 499.157 -99.3909 -30 15 -0 4.10608
39.4012 497.722 -101.46 -30 15 -0 4.05491
39.569 496.184 -103.452 -30 15 -0 4.00374
39.7368 494.546 -105.363 -30 15 -0 3.95257
39.9047 492.812 -107.188 -30 15 -0 3.92699
40.2067 492.812 -107.188 -30 15 -0 3.92699
40.5086 489.609 -110.391 -30 15 -0 3.92699
40.8106 486.406 -113.594 -30 15 -0 3.92699
41.1126 483.203 -116.797 -30 15 -0 3.92699
41.4146 480 -120 -30 15 -0 3.92699
