time x y z V_A gamma chi
0 -462.5 -500 -30 15 -0 0
0.376542 -462.5 -500 -30 15 -0 0
0.753085 -459.111 -500 -30 15 -0 0
1.12963 -455.722 -500 -30 15 -0 0
1.50617 -452.333 -500 -30 15 -0 0
1.88271 -448.944 -500 -30 15 -0 0
2.25925 -445.556 -500 -30 15 -0 0
2.6358 -442.167 -500 -30 15 -0 0
3.01234 -438.778 -500 -30 15 -0 0
3.38888 -435.389 -500 -30 15 -0 0.240772
3.83218 -435.389 -500 -30 15 -0 0.240772
4.27548 -431.492 -499.043 -30 15 -0 0.694561
4.71878 -428.142 -496.252 -30 15 -0 1.08803
4.94044 -425.84 -491.861 -30 15 -0 1.34251
5.16209 -425.216 -489.174 -30 15 -0 1.49755
5.38374 -425 -486.234 -30 15 -0 1.5708
5.71319 -425 -486.234 -30 15 -0 1.5708
6.04264 -425 -481.705 -30 15 -0 1.5708
6.3721 -425 -477.175 -30 15 -0 1.5708
6.70155 -425 -472.646 -30 15 -0 1.5708
7.031 -425 -468.117 -30 15 -0 1.5708
7.36045 -425 -463.588 -30 15 -0 1.5708
7.68991 -425 -459.058 -30 15 -0 1.5708
8.01936 -425 -454.529 -30 15 -0 1.5708
8.34881 -425 -450 -30 15 -0 1.5708
8.67827 -425 -450 -30 15 -0 1.5708
9.00772 -425 -445.471 -30 15 -0 1.5708
9.33717 -425 -440.942 -30 15 -0 1.5708
9.66662 -425 -436.412 -30 15 -0 1.5708
9.99608 -425 -431.883 -30 15 -0 1.5708
10.3255 -425 -427.354 -30 15 -0 1.5708
10.655 -425 -422.825 -30 15 -0 1.5708
10.9844 -425 -418.295 -30 15 -0 1.5708
11.3139 -425 -413.766 -30 15 -0 1.49755
11.5355 -425 -413.766 -30 15 -0 1.49755
11.7572 -424.784 -410.826 -30 15 -0 1.34251
12.2005 -424.16 -408.139 -30 15 -0 1.08803
12.6438 -421.858 -403.748 -30 15 -0 0.694561
13.0871 -418.508 -400.957 -30 15 -0 0.240772
13.5304 -414.611 -400 -30 15 -0 0
13.9363 -414.611 -400 -30 15 -0 0
14.3421 -410.958 -400 -30 15 -0 0
14.748 -407.306 -400 -30 15 -0 0
15.1538 -403.653 -400 -30 15 -0 0
15.5597 -400 -400 -30 15 -0 0
15.9005 -400 -400 -30 15 -0 0
16.2414 -396.933 -400 -30 15 -0 0
16.5822 -393.865 -400 -30 15 -0 0
16.923 -390.798 -400 -30 15 -0 0
17.2638 -387.73 -400 -30 15 -0 0
17.6047 -384.663 -400 -30 15 -0 0
17.9455 -381.595 -400 -30 15 -0 0
18.2863 -378.528 -400 -30 15 -0 0
18.6271 -375.461 -400 -30 15 -0 0.055696
18.7294 -375.461 -400 -30 15 -0 0.055696
18.8316 -374.541 -399.949 -30 15 -0 0.111282
19.1257 -374.541 -399.949 -30 15 -0 0.111282
