time x y z V_A gamma chi
0 -462.5 -500 -30 15 -0 0
0.227809 -462.5 -500 -30 15 -0 0
0.455617 -457.716 -500 -30 15 -0 0
0.683426 -452.932 -500 -30 15 -0 0
0.911234 -448.148 -500 -30 15 -0 0
1.13904 -443.364 -500 -30 15 -0 6.23449
1.3476 -443.364 -500 -30 15 -0 6.23449
1.55616 -438.994 -500.213 -30 15 -0 6.137
1.76472 -434.682 -500.848 -30 15 -0 6.03917
1.97328 -430.484 -501.893 -30 15 -0 5.94077
2.18184 -426.456 -503.329 -30 15 -0 5.84155
2.39039 -422.649 -505.129 -30 15 -0 5.74124
2.59895 -419.111 -507.259 -30 15 -0 5.63952
2.80751 -415.883 -509.681 -30 15 -0 5.53605
3.01607 -413.002 -512.349 -30 15 -0 5.48336
3.1579 -413.002 -512.349 -30 15 -0 5.48336
3.29973 -411.169 -514.236 -30 15 -0 5.48336
3.44156 -409.336 -516.123 -30 15 -0 5.48336
3.58339 -407.502 -518.01 -30 15 -0 5.48336
3.72522 -405.669 -519.897 -30 15 -0 5.48336
3.86705 -403.835 -521.784 -30 15 -0 5.48336
4.00888 -402.002 -523.671 -30 15 -0 5.48336
4.15071 -400.169 -525.558 -30 15 -0 5.48336
4.29254 -398.335 -527.445 -30 15 -0 5.48336
4.43437 -396.502 -529.332 -30 15 -0 5.48336
4.5762 -394.669 -531.219 -30 15 -0 5.48336
4.71803 -392.835 -533.106 -30 15 -0 5.48336
4.85986 -391.002 -534.993 -30 15 -0 5.48336
5.00169 -389.168 -536.881 -30 15 -0 5.48336
5.14352 -387.335 -538.768 -30 15 -0 5.48336
5.28535 -385.502 -540.655 -30 15 -0 5.48336
5.42718 -383.668 -542.542 -30 15 -0 5.48336
5.56901 -381.835 -544.429 -30 15 -0 5.48336
5.71084 -380.002 -546.316 -30 15 -0 5.48336
5.85267 -378.168 -548.203 -30 15 -0 5.48336
5.9945 -376.335 -550.09 -30 15 -0 5.48336
6.13633 -374.501 -551.977 -30 15 -0 5.48336
6.27816 -372.668 -553.864 -30 15 -0 5.48336
6.41999 -370.835 -555.751 -30 15 -0 5.48336
6.56182 -369.001 -557.638 -30 15 -0 5.48336
6.70365 -367.168 -559.525 -30 15 -0 5.48336
6.84548 -365.335 -561.412 -30 15 -0 5.48336
6.98731 -363.501 -563.299 -30 15 -0 5.48336
7.12914 -361.668 -565.186 -30 15 -0 5.48336
7.27097 -359.834 -567.073 -30 15 -0 5.48336
7.4128 -358.001 -568.96 -30 15 -0 5.48336
7.55463 -356.168 -570.847 -30 15 -0 5.48336
7.69646 -354.334 -572.734 -30 15 -0 5.48336
7.96128 -354.334 -572.734 -30 15 -0 5.48336
8.2261 -350.911 -576.258 -30 15 -0 5.48336
8.49092 -347.488 -579.781 -30 15 -0 5.48336
8.75574 -344.065 -583.305 -30 15 -0 5.48336
9.02055 -340.641 -586.828 -30 15 -0 5.48336
9.28537 -337.218 -590.351 -30 15 -0 5.48336
9.55019 -333.795 -593.875 -30 15 -0 5.48336
9.81501 -330.372 -597.398 -30 15 -0 5.48336
10.0798 -326.949 -600.922 -30 15 -0 5.48336
10.3447 -323.525 -604.445 -30 15 -0 5.48336
10.6095 -320.102 -607.969 -30 15 -0 5.48336
10.8743 -316.679 -611.492 -30 15 -0 5.48336
11.1391 -313.256 -615.015 -30 15 -0 5.48336
11.4039 -309.833 -618.539 -30 15 -0 5.48336
11.6687 -306.409 -622.062 -30 15 -0 5.48336
11.9336 -302.986 -625.586 -30 15 -0 5.48336
12.1984 -299.563 -629.109 -30 15 -0 5.44815
12.3373 -299.563 -629.109 -30 15 -0 5.44815
12.4761 -297.853 -630.998 -30 15 -0 5.37669
12.7539 -296.318 -632.959 -30 15 -0 5.26737
13.0317 -293.794 -637.03 -30 15 -0 5.1157
13.3094 -292.019 -641.189 -30 15 -0 4.95605
13.5872 -290.997 -645.3 -30 15 -0 4.78614
13.8649 -290.707 -649.226 -30 15 -0 4.60313
14.1427 -291.103 -652.839 -30 15 -0 4.40355
14.4205 -292.118 -656.021 -30 15 -0 4.18357
14.6982 -293.664 -658.665 -30 15 -0 4.06417
14.9747 -293.664 -658.665 -30 15 -0 4.06417
15.2511 -295.432 -661 -30 15 -0 4.06417
15.5276 -297.2 -663.335 -30 15 -0 4.06417
