time x y z V_A gamma chi
0 -462.5 -300 -100 15 -0 0
0.470139 -462.5 -300 -100 15 -0 0
0.940278 -458.269 -300 -100 15 -0 0
1.41042 -454.037 -300 -100 15 -0 0
1.88056 -449.806 -300 -100 15 -0 0
2.35069 -445.575 -300 -100 15 -0 0
2.82083 -441.344 -300 -100 15 -0 0
3.29097 -437.112 -300 -100 15 -0 0
3.76111 -432.881 -300 -100 15 -0 0
4.23125 -428.65 -300 -100 15 -0 0.209776
4.61719 -428.65 -300 -100 15 -0 0.209776
5.00314 -425.238 -299.274 -100 15 -0 0.610467
5.38908 -422.188 -297.14 -100 15 -0 0.793896
5.79869 -422.188 -297.14 -100 15 -0 0.793896
6.2083 -419.268 -294.169 -100 15 -0 0.793896
6.61791 -416.347 -291.199 -100 15 -0 0.793896
7.02752 -413.426 -288.228 -100 15 -0 0.793896
7.43713 -410.506 -285.257 -100 15 -0 0.793896
7.84674 -407.585 -282.287 -100 15 -0 0.793896
8.25635 -404.665 -279.316 -100 15 -0 0.793896
8.66596 -401.744 -276.345 -100 15 -0 0.793896
9.07557 -398.823 -273.375 -100 15 -0 0.793896
9.48518 -395.903 -270.404 -100 15 -0 0.793896
9.89479 -392.982 -267.433 -100 15 -0 0.793896
10.3044 -390.062 -264.463 -100 15 -0 0.793896
10.714 -387.141 -261.492 -100 15 -0 0.793896
11.1236 -384.22 -258.521 -100 15 -0 0.793896
11.5332 -381.3 -255.551 -100 15 -0 0.793896
11.9428 -378.379 -252.58 -100 15 -0 0.793896
12.3524 -375.459 -249.609 -100 15 -0 0.793896
12.7791 -375.459 -249.609 -100 15 -0 0.793896
13.2058 -372.416 -246.515 -100 15 -0 0.793896
13.6326 -369.374 -243.42 -100 15 -0 0.793896
14.0593 -366.331 -240.326 -100 15 -0 0.793896
14.486 -363.289 -237.231 -100 15 -0 0.793896
14.9127 -360.246 -234.136 -100 15 -0 0.793896
15.3394 -357.204 -231.042 -100 15 -0 0.793896
15.7661 -354.161 -227.947 -100 15 -0 0.793896
16.1928 -351.119 -224.852 -100 15 -0 0.793896
16.6195 -348.076 -221.758 -100 15 -0 0.793896
17.0462 -345.034 -218.663 -100 15 -0 0.793896
17.4729 -341.992 -215.569 -100 15 -0 0.793896
17.8996 -338.949 -212.474 -100 15 -0 0.793896
18.3263 -335.907 -209.379 -100 15 -0 0.793896
18.753 -332.864 -206.285 -100 15 -0 0.793896
19.1797 -329.822 -203.19 -100 15 -0 0.793896
19.6064 -326.779 -200.096 -100 15 -0 0.679757
19.849 -326.779 -200.096 -100 15 -0 0.679757
20.0917 -324.923 -198.595 -100 15 -0 0.560143
20.5491 -324.923 -198.595 -100 15 -0 0.560143
21.0065 -321.213 -196.268 -100 15 -0 0.560143
21.4639 -317.503 -193.942 -100 15 -0 0.560143
21.9213 -313.793 -191.615 -100 15 -0 0.560143
22.3787 -310.083 -189.288 -100 15 -0 0.560143
22.8361 -306.373 -186.961 -100 15 -0 0.560143
23.2935 -302.663 -184.635 -100 15 -0 0.560143
23.7509 -298.953 -182.308 -100 15 -0 0.560143
24.2083 -295.243 -179.981 -100 15 -0 0.560143
24.6657 -291.532 -177.654 -100 15 -0 0.560143
25.1231 -287.822 -175.328 -100 15 -0 0.560143
25.5805 -284.112 -173.001 -100 15 -0 0.560143
26.0379 -280.402 -170.674 -100 15 -0 0.560143
26.4953 -276.692 -168.347 -100 15 -0 0.560143
26.9527 -272.982 -166.021 -100 15 -0 0.560143
