time x y z V_A gamma chi
0 110 262.5 -70 15 -0 4.71239
0.336688 110 262.5 -70 15 -0 4.71239
0.673375 110 257.871 -70 15 -0 4.71239
1.01006 110 253.243 -70 15 -0 4.71239
1.34675 110 248.614 -70 15 -0 4.71239
1.68344 110 243.985 -70 15 -0 4.71239
2.02013 110 239.357 -70 15 -0 4.71239
2.35681 110 234.728 -70 15 -0 4.71239
2.6935 110 230.099 -70 15 -0 4.71239
3.03019 110 225.47 -70 15 0.0619621 4.69171
3.09365 110 225.47 -70 15 0.0619621 4.69171
3.15711 109.982 224.59 -70.0546 15 0.132422 4.66797
3.40951 109.982 224.59 -70.0546 15 0.132422 4.66797
3.66191 109.826 221.088 -70.5217 15 0.132422 4.66797
3.91431 109.67 217.585 -70.9887 15 0.132422 4.66797
4.16672 109.515 214.082 -71.4557 15 0.132422 4.66797
4.41912 109.359 210.579 -71.9228 15 0.132422 4.66797
4.67152 109.203 207.076 -72.3898 15 0.132422 4.66797
4.92392 109.048 203.573 -72.8569 15 0.132422 4.66797
5.17633 108.892 200.071 -73.3239 15 0.132422 4.66797
5.42873 108.736 196.568 -73.791 15 0.132422 4.66797
5.68113 108.581 193.065 -74.258 15 0.132422 4.66797
5.93353 108.425 189.562 -74.725 15 0.132422 4.66797
6.18594 108.269 186.059 -75.1921 15 0.132422 4.66797
6.43834 108.114 182.557 -75.6591 15 0.132422 4.66797
6.69074 107.958 179.054 -76.1262 15 0.132422 4.66797
6.94314 107.802 175.551 -76.5932 15 0.132422 4.66797
7.19555 107.647 172.048 -77.0603 15 0.132422 4.66797
7.44795 107.491 168.545 -77.5273 15 0.132422 4.66797
7.70035 107.335 165.042 -77.9943 15 0.132422 4.66797
7.95275 107.18 161.54 -78.4614 15 0.132422 4.66797
8.20516 107.024 158.037 -78.9284 15 0.132422 4.66797
8.45756 106.868 154.534 -79.3955 15 0.132422 4.66797
8.70996 106.712 151.031 -79.8625 15 0.132422 4.66797
8.96236 106.557 147.528 -80.3296 15 0.132422 4.66797
9.21477 106.401 144.025 -80.7966 15 0.132422 4.66797
9.46717 106.245 140.523 -81.2637 15 0.132422 4.66797
9.71957 106.09 137.02 -81.7307 15 0.132422 4.66797
9.97197 105.934 133.517 -82.1977 15 0.132422 4.66797
10.2244 105.778 130.014 -82.6648 15 0.132422 4.66797
10.4768 105.623 126.511 -83.1318 15 0.132422 4.66797
10.7292 105.467 123.008 -83.5989 15 0.132422 4.66797
10.9816 105.311 119.506 -84.0659 15 0.132422 4.66797
11.234 105.156 116.003 -84.533 15 0.132422 4.66797
11.4864 105 112.5 -85 15 0.132422 4.66797
11.6699 105 112.5 -85 15 0.132422 4.66797
11.8534 104.887 109.953 -85.3396 15 0.132422 4.66797
12.0369 104.774 107.406 -85.6791 15 0.132422 4.66797
12.2204 104.66 104.86 -86.0187 15 0.132422 4.66797
12.404 104.547 102.313 -86.3583 15 0.132422 4.66797
12.5875 104.434 99.766 -86.6979 15 0.132422 4.66797
12.771 104.321 97.2192 -87.0374 15 0.132422 4.66797
12.9545 104.208 94.6724 -87.377 15 0.132422 4.66797
13.138 104.094 92.1256 -87.7166 15 0.132422 4.66797
13.3215 103.981 89.5788 -88.0562 15 0.132422 4.66797
13.505 103.868 87.032 -88.3957 15 0.132422 4.66797
13.6886 103.755 84.4852 -88.7353 15 0.132422 4.66797
13.8721 103.642 81.9384 -89.0749 15 0.132422 4.66797
14.0556 103.529 79.3916 -89.4145 15 0.132422 4.66797
14.2391 103.415 76.8448 -89.754 15 0.132422 4.66797
14.4226 103.302 74.298 -90.0936 15 0.132422 4.66797
14.6061 103.189 71.7512 -90.4332 15 0.132422 4.66797
14.7896 103.076 69.2044 -90.7727 15 0.132422 4.66797
14.9732 102.963 66.6576 -91.1123 15 0.132422 4.66797
15.1567 102.849 64.1108 -91.4519 15 0.132422 4.66797
15.3402 102.736 61.564 -91.7915 15 0.132422 4.66797
15.5237 102.623 59.0172 -92.131 15 0.132422 4.66797
15.7072 102.51 56.4704 -92.4706 15 0.132422 4.66797
15.8907 102.397 53.9236 -92.8102 15 0.132422 4.66797
16.0742 102.283 51.3768 -93.1498 15 0.132422 4.66797
16.2578 102.17 48.83 -93.4893 15 0.132422 4.66797
16.4413 102.057 46.2832 -93.8289 15 0.132422 4.66797
16.6248 101.944 43.7364 -94.1685 15 0.132422 4.66797
16.8083 101.831 41.1896 -94.5081 15 0.132422 4.66797
16.9918 101.717 38.6428 -94.8476 15 0.132422 4.66797
17.1753 101.604 36.096 -95.1872 15 0.132422 4.66797
17.3588 101.491 33.5492 -95.5268 15 0.132422 4.66797
17.5424 101.378 31.0024 -95.8663 15 0.129825 4.60897
17.7279 101.378 31.0024 -95.8663 15 0.129825 4.60897
17.9134 101.105 28.3733 -96.2114 15 0.126728 4.49561
18.099 100.508 25.6618 -96.5652 15 0.125247 4.38703
18.2845 99.5788 22.9078 -96.9311 15 0.123699 4.28248
18.4701 98.3151 20.1518 -97.3081 15 0.120956 4.18136
18.6556 96.7191 17.4342 -97.6912 15 0.116322 4.08311
18.8411 94.7977 14.795 -98.0726 15 0.109439 3.98731
19.0267 92.5629 12.273 -98.4429 15 0.100222 3.89355
19.2122 90.0313 9.90517 -98.7915 15 0.0888138 3.80151
19.3978 87.2235 7.72643 -99.108 15 0.075563 3.71089
19.5833 84.1645 5.76875 -99.3829 15 0.0610076 3.62146
19.7688 80.8829 4.06089 -99.6089 15 0.0458744 3.53298
19.9544 77.4106 2.62796 -99.7813 15 0.0310828 3.44525
20.1399 73.7823 1.49101 -99.8995 15 0.0177561 3.3581
20.3255 70.0349 0.666753 -99.9677 15 0.00723977 3.27134
20.511 66.207 0.167304 -99.9956 15 0.00113021 3.18482
20.6965 62.3387 0 -100 15 -0 3.14159
20.8821 62.3387 0 -100 15 -0 3.14159
21.0676 58.4426 0 -100 15 -0 3.14159
21.2531 54.5464 0 -100 15 -0 3.14159
21.4387 50.6502 0 -100 15 -0 3.14159
21.6242 46.754 0 -100 15 -0 3.14159
21.8097 42.8579 0 -100 15 -0 3.14159
