time x y z V_A gamma chi
0 -212.5 -50 -70 15 -0 0
0.216902 -212.5 -50 -70 15 -0 0
0.433803 -209.246 -50 -70 15 -0 0
0.650705 -205.993 -50 -70 15 -0 0
0.867606 -202.739 -50 -70 15 -0 0
1.08451 -199.486 -50 -70 15 -0 0
1.30141 -196.232 -50 -70 15 -0 0
1.51831 -192.979 -50 -70 15 -0 0
1.73521 -189.725 -50 -70 15 -0 0
1.95211 -186.472 -50 -70 15 0.00505509 6.22523
2.12941 -186.472 -50 -70 15 0.00505509 6.22523
2.30671 -183.818 -50.154 -70.0134 15 0.0310158 6.10932
2.484 -181.2 -50.6138 -70.0959 15 0.0718595 5.99341
2.6613 -178.653 -51.3733 -70.2872 15 0.117438 5.87749
2.83859 -176.211 -52.4222 -70.6008 15 0.159929 5.76158
3.01589 -173.907 -53.7466 -71.0296 15 0.194017 5.64567
3.19319 -171.771 -55.3286 -71.5518 15 0.216828 5.52976
3.37048 -169.832 -57.147 -72.1373 15 0.227699 5.41385
3.54778 -168.117 -59.1774 -72.7532 15 0.235545 5.35589
3.76643 -168.117 -59.1774 -72.7532 15 0.235545 5.35589
3.98509 -166.203 -61.7289 -73.5187 15 0.235545 5.35589
4.20374 -164.29 -64.2803 -74.2841 15 0.235545 5.35589
4.4224 -162.376 -66.8317 -75.0495 15 0.235545 5.35589
4.64105 -160.463 -69.3831 -75.8149 15 0.235545 5.35589
4.85971 -158.549 -71.9345 -76.5803 15 0.235545 5.35589
5.07836 -156.636 -74.4859 -77.3458 15 0.235545 5.35589
5.29702 -154.722 -77.0373 -78.1112 15 0.235545 5.35589
5.51567 -152.808 -79.5887 -78.8766 15 0.235545 5.35589
5.73433 -150.895 -82.1401 -79.642 15 0.235545 5.35589
5.95298 -148.981 -84.6915 -80.4075 15 0.235545 5.35589
6.17164 -147.068 -87.243 -81.1729 15 0.235545 5.35589
6.39029 -145.154 -89.7944 -81.9383 15 0.235545 5.35589
6.60895 -143.241 -92.3458 -82.7037 15 0.235545 5.35589
6.8276 -141.327 -94.8972 -83.4692 15 0.235545 5.35589
7.04626 -139.414 -97.4486 -84.2346 15 0.235545 5.35589
7.26491 -137.5 -100 -85 15 0.235545 5.35589
