time x y z V_A gamma chi
0 -212.5 -50 -70 15 -0 0
0.45913 -212.5 -50 -70 15 -0 0
0.91826 -208.368 -50 -70 15 -0 0
1.37739 -204.236 -50 -70 15 -0 0
1.83652 -200.103 -50 -70 15 -0 0
2.29565 -195.971 -50 -70 15 -0 0
2.75478 -191.839 -50 -70 15 -0 0
3.21391 -187.707 -50 -70 15 -0 0
3.67304 -183.575 -50 -70 15 -0 0
4.13217 -179.443 -50 -70 15 0.0578143 6.03533
4.58859 -179.443 -50 -70 15 0.0578143 6.03533
5.04501 -175.436 -51.0139 -70.2392 15 0.207703 5.56971
5.50144 -172.025 -53.966 -71.1898 15 0.235545 5.35589
5.84755 -172.025 -53.966 -71.1898 15 0.235545 5.35589
6.19367 -169.868 -56.8431 -72.0529 15 0.235545 5.35589
6.53978 -167.71 -59.7203 -72.9161 15 0.235545 5.35589
6.8859 -165.552 -62.5974 -73.7792 15 0.235545 5.35589
7.23202 -163.394 -65.4745 -74.6424 15 0.235545 5.35589
7.57813 -161.236 -68.3516 -75.5055 15 0.235545 5.35589
7.92425 -159.078 -71.2288 -76.3686 15 0.235545 5.35589
8.27036 -156.921 -74.1059 -77.2318 15 0.235545 5.35589
8.61648 -154.763 -76.983 -78.0949 15 0.235545 5.35589
8.9626 -152.605 -79.8601 -78.958 15 0.235545 5.35589
9.30871 -150.447 -82.7373 -79.8212 15 0.235545 5.35589
9.65483 -148.289 -85.6144 -80.6843 15 0.235545 5.35589
10.0009 -146.131 -88.4915 -81.5475 15 0.235545 5.35589
10.3471 -143.974 -91.3686 -82.4106 15 0.235545 5.35589
10.6932 -141.816 -94.2458 -83.2737 15 0.235545 5.35589
11.0393 -139.658 -97.1229 -84.1369 15 0.235545 5.35589
11.3854 -137.5 -100 -85 15 0.235545 5.35589
11.7319 -137.5 -100 -85 15 0.235545 5.35589
12.0785 -135.34 -102.881 -85.8642 15 0.235545 5.35589
12.425 -133.179 -105.761 -86.7283 15 0.235545 5.35589
12.7715 -131.019 -108.642 -87.5925 15 0.235545 5.35589
13.1181 -128.858 -111.522 -88.4567 15 0.235545 5.35589
13.4646 -126.698 -114.403 -89.3209 15 0.235545 5.35589
13.8111 -124.537 -117.283 -90.185 15 0.235545 5.35589
14.1577 -122.377 -120.164 -91.0492 15 0.235545 5.35589
14.5042 -120.217 -123.045 -91.9134 15 0.235545 5.35589
14.8507 -118.056 -125.925 -92.7775 15 0.235545 5.35589
15.1973 -115.896 -128.806 -93.6417 15 0.235545 5.35589
15.5438 -113.735 -131.686 -94.5059 15 0.235545 5.35589
15.8903 -111.575 -134.567 -95.3701 15 0.235545 5.35589
16.2368 -109.414 -137.447 -96.2342 15 0.235545 5.35589
16.5834 -107.254 -140.328 -97.0984 15 0.235545 5.35589
16.9299 -105.094 -143.209 -97.9626 15 0.235545 5.35589
17.2764 -102.933 -146.089 -98.8268 15 0.210087 5.56406
17.7329 -102.933 -146.089 -98.8268 15 0.210087 5.56406
18.1893 -99.6082 -149 -99.7691 15 0.0571203 6.03302
18.6457 -95.6954 -150 -100 15 -0 0
18.978 -95.6954 -150 -100 15 -0 0
19.3103 -92.7049 -150 -100 15 -0 0
19.6425 -89.7145 -150 -100 15 -0 0
19.9748 -86.724 -150 -100 15 -0 0
20.3071 -83.7335 -150 -100 15 -0 0
20.6394 -80.743 -150 -100 15 -0 0
20.9716 -77.7525 -150 -100 15 -0 0
21.3039 -74.7621 -150 -100 15 -0 0
21.6362 -71.7716 -150 -100 15 -0 0
21.9685 -68.7811 -150 -100 15 -0 0
22.3007 -65.7906 -150 -100 15 -0 0
22.633 -62.8001 -150 -100 15 -0 0
22.9653 -59.8096 -150 -100 15 -0 0
23.2976 -56.8192 -150 -100 15 -0 0
23.6298 -53.8287 -150 -100 15 -0 0
23.9621 -50.8382 -150 -100 15 -0 0
24.2944 -47.8477 -150 -100 15 -0 0
24.6267 -44.8572 -150 -100 15 -0 0
24.9589 -41.8667 -150 -100 15 -0 0
25.2912 -38.8763 -150 -100 15 -0 0
25.6235 -35.8858 -150 -100 15 -0 0
25.9558 -32.8953 -150 -100 15 -0 0
26.288 -29.9048 -150 -100 15 -0 0
26.6203 -26.9143 -150 -100 15 -0 0
26.9526 -23.9239 -150 -100 15 -0 0
27.2849 -20.9334 -150 -100 15 -0 0
27.6171 -17.9429 -150 -100 15 -0 0
27.9494 -14.9524 -150 -100 15 -0 0
28.2817 -11.9619 -150 -100 15 -0 0
28.614 -8.97145 -150 -100 15 -0 0
28.9463 -5.98096 -150 -100 15 -0 0
29.2785 -2.99048 -150 -100 15 -0 0
29.6108 0 -150 -100 15 -0 0
29.922 0 -150 -100 15 -0 0
30.2331 2.80035 -150 -100 15 -0 0
30.5443 5.60069 -150 -100 15 -0 0
30.8554 8.40104 -150 -100 15 -0 0
31.1665 11.2014 -150 -100 15 -0 0
31.4777 14.0017 -150 -100 15 -0 0
31.7888 16.8021 -150 -100 15 -0 0
32.1 19.6024 -150 -100 15 -0 0
32.4111 22.4028 -150 -100 15 -0 0
32.7223 25.2031 -150 -100 15 -0 0
33.0334 28.0035 -150 -100 15 -0 0
33.3446 30.8038 -150 -100 15 -0 0
33.6557 33.6041 -150 -100 15 -0 0
33.9669 36.4045 -150 -100 15 -0 0
34.278 39.2048 -150 -100 15 -0 0
34.5892 42.0052 -150 -100 15 -0 0
34.9003 44.8055 -150 -100 15 -0 0
35.2115 47.6059 -150 -100 15 -0 0
35.5226 50.4062 -150 -100 15 -0 0
35.8338 53.2066 -150 -100 15 -0 0
36.1449 56.0069 -150 -100 15 -0 0
36.4561 58.8073 -150 -100 15 -0 0
36.7672 61.6076 -150 -100 15 -0 0
37.0784 64.4079 -150 -100 15 -0 0
37.3895 67.2083 -150 -100 15 -0 0
37.7007 70.0086 -150 -100 15 -0 0
38.0118 72.809 -150 -100 15 -0 0
38.323 75.6093 -150 -100 15 -0 0
38.6341 78.4097 -150 -100 15 -0 0
38.9453 81.21 -150 -100 15 -0 0
39.2564 84.0104 -150 -100 15 -0 0
39.5676 86.8107 -150 -100 15 -0 0
39.8787 89.6111 -150 -100 15 -0 0.240772
40.322 89.6111 -150 -100 15 -0 0.240772
40.7653 93.5081 -149.043 -100 15 -0 0.694561
41.2086 96.8582 -146.252 -100 15 -0 1.08803
41.4303 99.1601 -141.861 -100 15 -0 1.34251
41.6519 99.7843 -139.174 -100 15 -0 1.49755
41.8736 100 -136.234 -100 15 -0 1.5708
42.203 100 -136.234 -100 15 -0 1.5708
42.5325 100 -131.705 -100 15 -0 1.5708
42.8619 100 -127.175 -100 15 -0 1.5708
43.1914 100 -122.646 -100 15 -0 1.5708
43.5209 100 -118.117 -100 15 -0 1.5708
43.8503 100 -113.588 -100 15 -0 1.5708
44.1798 100 -109.058 -100 15 -0 1.5708
44.5092 100 -104.529 -100 15 -0 1.5708
44.8387 100 -100 -100 15 -0 1.5708
45.066 100 -100 -100 15 -0 1.5708
45.2933 100 -96.875 -100 15 -0 1.5708
45.5206 100 -93.75 -100 15 -0 1.5708
45.7479 100 -90.625 -100 15 -0 1.5708
45.9752 100 -87.5 -100 15 -0 1.5708
46.2025 100 -84.375 -100 15 -0 1.5708
46.4298 100 -81.25 -100 15 -0 1.5708
46.6571 100 -78.125 -100 15 -0 1.5708
46.8845 100 -75 -100 15 -0 1.5708
47.1118 100 -71.875 -100 15 -0 1.5708
47.3391 100 -68.75 -100 15 -0 1.5708
47.5664 100 -65.625 -100 15 -0 1.5708
47.7937 100 -62.5 -100 15 -0 1.5708
48.021 100 -59.375 -100 15 -0 1.5708
48.2483 100 -56.25 -100 15 -0 1.5708
48.4756 100 -53.125 -100 15 -0 1.5708
48.7029 100 -50 -100 15 -0 1.5708
48.9303 100 -50 -100 15 -0 1.5708
49.1576 100 -46.875 -100 15 -0 1.5708
49.3849 100 -43.75 -100 15 -0 1.5708
49.6122 100 -40.625 -100 15 -0 1.5708
49.8395 100 -37.5 -100 15 -0 1.5708
50.0668 100 -34.375 -100 15 -0 1.5708
50.2941 100 -31.25 -100 15 -0 1.5708
50.5214 100 -28.125 -100 15 -0 1.5708
50.7487 100 -25 -100 15 -0 1.5708
50.976 100 -21.875 -100 15 -0 1.5708
51.2034 100 -18.75 -100 15 -0 1.5708
51.4307 100 -15.625 -100 15 -0 1.5708
51.658 100 -12.5 -100 15 -0 1.5708
51.8853 100 -9.375 -100 15 -0 1.5708
52.1126 100 -6.25 -100 15 -0 1.5708
52.3399 100 -3.125 -100 15 -0 1.5708
52.5672 100 0 -100 15 -0 1.5708
52.7945 100 0 -100 15 -0 1.5708
53.0218 100 3.125 -100 15 -0 1.5708
53.2491 100 6.25 -100 15 -0 1.5708
53.4765 100 9.375 -100 15 -0 1.5708
53.7038 100 12.5 -100 15 -0 1.5708
53.9311 100 15.625 -100 15 -0 1.5708
54.1584 100 18.75 -100 15 -0 1.5708
54.3857 100 21.875 -100 15 -0 1.5708
54.613 100 25 -100 15 -0 1.5708
54.8403 100 28.125 -100 15 -0 1.5708
55.0676 100 31.25 -100 15 -0 1.5708
55.2949 100 34.375 -100 15 -0 1.5708
55.5223 100 37.5 -100 15 -0 1.5708
55.7496 100 40.625 -100 15 -0 1.5708
55.9769 100 43.75 -100 15 -0 1.5708
56.2042 100 46.875 -100 15 -0 1.5708
56.4315 100 50 -100 15 -0 1.5708
56.6588 100 50 -100 15 -0 1.5708
56.8861 100 53.125 -100 15 -0 1.5708
57.1134 100 56.25 -100 15 -0 1.5708
57.3407 100 59.375 -100 15 -0 1.5708
57.568 100 62.5 -100 15 -0 1.5708
57.7954 100 65.625 -100 15 -0 1.5708
58.0227 100 68.75 -100 15 -0 1.5708
58.25 100 71.875 -100 15 -0 1.5708
58.4773 100 75 -100 15 -0 1.5708
58.7046 100 78.125 -100 15 -0 1.5708
58.9319 100 81.25 -100 15 -0 1.5708
