time x y z V_A gamma chi
0 -212.5 -50 -70 15 -0 0
0.415989 -212.5 -50 -70 15 -0 0
0.831977 -208.756 -50 -70 15 -0 0
1.24797 -205.012 -50 -70 15 -0 0
1.66395 -201.268 -50 -70 15 -0 0
2.07994 -197.524 -50 -70 15 -0 0
2.49593 -193.781 -50 -70 15 -0 0
2.91192 -190.037 -50 -70 15 -0 0
3.32791 -186.293 -50 -70 15 -0 0
3.7439 -182.549 -50 -70 15 0.0294623 6.09282
4.09399 -182.549 -50 -70 15 0.0294623 6.09282
4.44407 -179.444 -50.5983 -70.0932 15 0.146251 5.7264
4.79416 -176.61 -52.3622 -70.5848 15 0.248711 5.39458
5.14425 -174.306 -55.1995 -71.5132 15 0.281292 5.10224
5.49434 -172.759 -58.9622 -72.6887 15 0.283219 4.95737
5.71601 -172.759 -58.9622 -72.6887 15 0.283219 4.95737
5.93769 -172.118 -61.5271 -73.4581 15 0.283219 4.95737
6.15936 -171.477 -64.092 -74.2276 15 0.283219 4.95737
6.38104 -170.836 -66.6568 -74.997 15 0.283219 4.95737
6.60271 -170.195 -69.2217 -75.7665 15 0.283219 4.95737
6.82439 -169.553 -71.7865 -76.536 15 0.283219 4.95737
7.04606 -168.912 -74.3514 -77.3054 15 0.283219 4.95737
7.26774 -168.271 -76.9163 -78.0749 15 0.283219 4.95737
7.48941 -167.63 -79.4811 -78.8443 15 0.283219 4.95737
7.71109 -166.989 -82.046 -79.6138 15 0.283219 4.95737
7.93276 -166.347 -84.6108 -80.3833 15 0.283219 4.95737
8.15444 -165.706 -87.1757 -81.1527 15 0.283219 4.95737
8.37611 -165.065 -89.7406 -81.9222 15 0.283219 4.95737
8.59779 -164.424 -92.3054 -82.6916 15 0.283219 4.95737
8.81946 -163.782 -94.8703 -83.4611 15 0.283219 4.95737
9.04114 -163.141 -97.4351 -84.2305 15 0.283219 4.95737
9.26281 -162.5 -100 -85 15 0.283219 4.95737
9.4858 -162.5 -100 -85 15 0.283219 4.95737
9.70879 -161.855 -102.58 -85.774 15 0.283219 4.95737
9.93178 -161.21 -105.16 -86.548 15 0.283219 4.95737
10.1548 -160.565 -107.74 -87.3221 15 0.283219 4.95737
10.3778 -159.92 -110.32 -88.0961 15 0.283219 4.95737
10.6007 -159.275 -112.9 -88.8701 15 0.283219 4.95737
10.8237 -158.63 -115.48 -89.6441 15 0.283219 4.95737
11.0467 -157.985 -118.06 -90.4181 15 0.283219 4.95737
11.2697 -157.34 -120.641 -91.1922 15 0.283219 4.95737
11.4927 -156.695 -123.221 -91.9662 15 0.283219 4.95737
11.7157 -156.05 -125.801 -92.7402 15 0.283219 4.95737
11.9387 -155.405 -128.381 -93.5142 15 0.283219 4.95737
12.1617 -154.76 -130.961 -94.2882 15 0.283219 4.95737
12.3847 -154.115 -133.541 -95.0622 15 0.283219 4.95737
12.6077 -153.47 -136.121 -95.8363 15 0.283219 4.95737
