time x y z V_A gamma chi
0 -212.5 -50 -70 15 -0 0
0.267217 -212.5 -50 -70 15 -0 0
0.534434 -208.826 -50 -70 15 -0 0
0.801651 -205.153 -50 -70 15 -0 0
1.06887 -201.479 -50 -70 15 -0 0
1.33609 -197.805 -50 -70 15 -0 0
1.6033 -194.132 -50 -70 15 -0 0
1.87052 -190.458 -50 -70 15 -0 0
2.13774 -186.785 -50 -70 15 -0 0
2.40495 -183.111 -50 -70 15 0.0151217 6.18667
2.69599 -183.111 -50 -70 15 0.0151217 6.18667
2.98703 -179.3 -50.369 -70.0579 15 0.0842635 5.97836
3.27807 -175.957 -51.4207 -70.3539 15 0.16603 5.74772
3.56911 -173.204 -53.054 -70.8903 15 0.218847 5.49085
3.86016 -171.14 -55.1471 -71.5441 15 0.235545 5.35589
4.22597 -171.14 -55.1471 -71.5441 15 0.235545 5.35589
4.59179 -169.037 -57.9504 -72.3851 15 0.235545 5.35589
4.9576 -166.935 -60.7537 -73.2261 15 0.235545 5.35589
5.32342 -164.832 -63.557 -74.0671 15 0.235545 5.35589
5.68923 -162.73 -66.3603 -74.9081 15 0.235545 5.35589
6.05505 -160.627 -69.1636 -75.7491 15 0.235545 5.35589
6.42086 -158.525 -71.9669 -76.5901 15 0.235545 5.35589
6.78668 -156.422 -74.7702 -77.4311 15 0.235545 5.35589
7.15249 -154.32 -77.5735 -78.2721 15 0.235545 5.35589
7.51831 -152.217 -80.3768 -79.1131 15 0.235545 5.35589
7.88413 -150.115 -83.1801 -79.954 15 0.235545 5.35589
8.24994 -148.012 -85.9835 -80.795 15 0.235545 5.35589
8.61576 -145.91 -88.7868 -81.636 15 0.235545 5.35589
8.98157 -143.807 -91.5901 -82.477 15 0.235545 5.35589
9.34739 -141.705 -94.3934 -83.318 15 0.235545 5.35589
9.7132 -139.602 -97.1967 -84.159 15 0.235545 5.35589
10.079 -137.5 -100 -85 15 0.235545 5.35589
10.446 -137.5 -100 -85 15 0.235545 5.35589
10.813 -135.391 -102.812 -85.8437 15 0.235545 5.35589
11.18 -133.282 -105.625 -86.6874 15 0.235545 5.35589
11.547 -131.172 -108.437 -87.531 15 0.235545 5.35589
11.9139 -129.063 -111.249 -88.3747 15 0.235545 5.35589
12.2809 -126.954 -114.061 -89.2184 15 0.235545 5.35589
12.6479 -124.845 -116.874 -90.0621 15 0.235545 5.35589
13.0149 -122.736 -119.686 -90.9058 15 0.235545 5.35589
13.3819 -120.626 -122.498 -91.7494 15 0.235545 5.35589
13.7489 -118.517 -125.31 -92.5931 15 0.235545 5.35589
14.1158 -116.408 -128.123 -93.4368 15 0.235545 5.35589
14.4828 -114.299 -130.935 -94.2805 15 0.235545 5.35589
14.8498 -112.19 -133.747 -95.1242 15 0.235545 5.35589
15.2168 -110.08 -136.559 -95.9678 15 0.235545 5.35589
15.5838 -107.971 -139.372 -96.8115 15 0.235545 5.35589
15.9508 -105.862 -142.184 -97.6552 15 0.235545 5.35589
16.3178 -103.753 -144.996 -98.4989 15 0.221 5.49586
16.6088 -103.753 -144.996 -98.4989 15 0.221 5.49586
16.8998 -101.713 -147.044 -99.1482 15 0.163266 5.75335
17.1909 -98.9924 -148.637 -99.6676 15 0.0805183 5.98406
17.4819 -95.6893 -149.656 -99.9465 15 0.0141336 6.1921
17.773 -91.923 -150 -100 15 -0 0
17.9819 -91.923 -150 -100 15 -0 0
18.1909 -89.0504 -150 -100 15 -0 0
18.3998 -86.1778 -150 -100 15 -0 0
18.6088 -83.3052 -150 -100 15 -0 0
18.8177 -80.4326 -150 -100 15 -0 0
19.0267 -77.56 -150 -100 15 -0 0
19.2356 -74.6874 -150 -100 15 -0 0
19.4446 -71.8148 -150 -100 15 -0 0
19.6535 -68.9422 -150 -100 15 -0 0
19.8625 -66.0696 -150 -100 15 -0 0
20.0714 -63.197 -150 -100 15 -0 0
20.2804 -60.3244 -150 -100 15 -0 0
20.4893 -57.4518 -150 -100 15 -0 0
20.6983 -54.5793 -150 -100 15 -0 0
20.9072 -51.7067 -150 -100 15 -0 0
21.1162 -48.8341 -150 -100 15 -0 0
21.3251 -45.9615 -150 -100 15 -0 0
21.5341 -43.0889 -150 -100 15 -0 0
21.743 -40.2163 -150 -100 15 -0 0
21.952 -37.3437 -150 -100 15 -0 0
22.1609 -34.4711 -150 -100 15 -0 0
22.3699 -31.5985 -150 -100 15 -0 0
22.5788 -28.7259 -150 -100 15 -0 0
22.7878 -25.8533 -150 -100 15 -0 0
22.9967 -22.9807 -150 -100 15 -0 0
23.2057 -20.1081 -150 -100 15 -0 0
23.4146 -17.2356 -150 -100 15 -0 0
23.6236 -14.363 -150 -100 15 -0 0
23.8325 -11.4904 -150 -100 15 -0 0
24.0415 -8.61778 -150 -100 15 -0 0
24.2504 -5.74518 -150 -100 15 -0 0
24.4594 -2.87259 -150 -100 15 -0 0
24.6683 0 -150 -100 15 -0 0
24.9769 0 -150 -100 15 -0 0
25.2855 4.24243 -150 -100 15 -0 0
25.5941 8.48487 -150 -100 15 -0 0
25.9027 12.7273 -150 -100 15 -0 0
26.2113 16.9697 -150 -100 15 -0 0
26.5199 21.2122 -150 -100 15 -0 0
26.8285 25.4546 -150 -100 15 -0 0
27.1371 29.697 -150 -100 15 -0 0
27.4456 33.9395 -150 -100 15 -0 0
27.7542 38.1819 -150 -100 15 -0 0
28.0628 42.4243 -150 -100 15 -0 0
28.3714 46.6668 -150 -100 15 -0 0
28.68 50.9092 -150 -100 15 -0 0
28.9886 55.1516 -150 -100 15 -0 0
29.2972 59.3941 -150 -100 15 -0 0
29.6058 63.6365 -150 -100 15 -0 0
29.9144 67.8789 -150 -100 15 -0 0.0614036
30.1039 67.8789 -150 -100 15 -0 0.0614036
30.2934 70.5479 -149.836 -100 15 -0 0.179142
30.4829 73.3166 -149.335 -100 15 -0 0.291645
30.6724 76.1427 -148.486 -100 15 -0 0.399727
30.8619 78.9828 -147.286 -100 15 -0 0.504083
31.0514 81.7933 -145.736 -100 15 -0 0.605299
31.2409 84.5313 -143.841 -100 15 -0 0.703874
31.4304 87.1546 -141.614 -100 15 -0 0.800231
31.6199 89.6231 -139.072 -100 15 -0 0.894733
31.8094 91.899 -136.234 -100 15 -0 0.987693
31.9989 93.9473 -133.129 -100 15 -0 1.07939
32.1884 95.7367 -129.786 -100 15 -0 1.17005
32.378 97.2397 -126.238 -100 15 -0 1.25991
32.5675 98.4333 -122.523 -100 15 -0 1.34916
32.757 99.2992 -118.681 -100 15 -0 1.43798
32.9465 99.8241 -114.752 -100 15 -0 1.52655
33.136 100 -110.779 -100 15 -0 1.5708
33.2643 100 -110.779 -100 15 -0 1.5708
33.3926 100 -108.084 -100 15 -0 1.5708
33.521 100 -105.39 -100 15 -0 1.5708
33.6493 100 -102.695 -100 15 -0 1.5708
33.7776 100 -100 -100 15 -0 1.5708
33.9264 100 -100 -100 15 -0 1.5708
34.0752 100 -96.875 -100 15 -0 1.5708
34.224 100 -93.75 -100 15 -0 1.5708
34.3728 100 -90.625 -100 15 -0 1.5708
34.5216 100 -87.5 -100 15 -0 1.5708
34.6705 100 -84.375 -100 15 -0 1.5708
34.8193 100 -81.25 -100 15 -0 1.5708
34.9681 100 -78.125 -100 15 -0 1.5708
35.1169 100 -75 -100 15 -0 1.5708
35.2657 100 -71.875 -100 15 -0 1.5708
35.4145 100 -68.75 -100 15 -0 1.5708
35.5633 100 -65.625 -100 15 -0 1.5708
35.7121 100 -62.5 -100 15 -0 1.5708
35.8609 100 -59.375 -100 15 -0 1.5708
36.0097 100 -56.25 -100 15 -0 1.5708
36.1586 100 -53.125 -100 15 -0 1.5708
36.3074 100 -50 -100 15 -0 1.5708
36.4562 100 -50 -100 15 -0 1.5708
36.605 100 -46.875 -100 15 -0 1.5708
36.7538 100 -43.75 -100 15 -0 1.5708
36.9026 100 -40.625 -100 15 -0 1.5708
37.0514 100 -37.5 -100 15 -0 1.5708
37.2002 100 -34.375 -100 15 -0 1.5708
37.349 100 -31.25 -100 15 -0 1.5708
37.4978 100 -28.125 -100 15 -0 1.5708
37.6466 100 -25 -100 15 -0 1.5708
37.7955 100 -21.875 -100 15 -0 1.5708
37.9443 100 -18.75 -100 15 -0 1.5708
38.0931 100 -15.625 -100 15 -0 1.5708
38.2419 100 -12.5 -100 15 -0 1.5708
38.3907 100 -9.375 -100 15 -0 1.5708
38.5395 100 -6.25 -100 15 -0 1.5708
38.6883 100 -3.125 -100 15 -0 1.5708
38.8371 100 0 -100 15 -0 1.5708
38.9859 100 0 -100 15 -0 1.5708
39.1347 100 3.125 -100 15 -0 1.5708
39.2836 100 6.25 -100 15 -0 1.5708
39.4324 100 9.375 -100 15 -0 1.5708
39.5812 100 12.5 -100 15 -0 1.5708
39.73 100 15.625 -100 15 -0 1.5708
39.8788 100 18.75 -100 15 -0 1.5708
40.0276 100 21.875 -100 15 -0 1.5708
40.1764 100 25 -100 15 -0 1.5708
40.3252 100 28.125 -100 15 -0 1.5708
40.474 100 31.25 -100 15 -0 1.5708
40.6228 100 34.375 -100 15 -0 1.5708
40.7716 100 37.5 -100 15 -0 1.5708
40.9205 100 40.625 -100 15 -0 1.5708
41.0693 100 43.75 -100 15 -0 1.5708
41.2181 100 46.875 -100 15 -0 1.5708
41.3669 100 50 -100 15 -0 1.5708
41.5157 100 50 -100 15 -0 1.5708
41.6645 100 53.125 -100 15 -0 1.5708
41.8133 100 56.25 -100 15 -0 1.5708
41.9621 100 59.375 -100 15 -0 1.5708
42.1109 100 62.5 -100 15 -0 1.5708
42.2597 100 65.625 -100 15 -0 1.5708
42.4086 100 68.75 -100 15 -0 1.5708
42.5574 100 71.875 -100 15 -0 1.5708
42.7062 100 75 -100 15 -0 1.5708
42.855 100 78.125 -100 15 -0 1.5708
43.0038 100 81.25 -100 15 -0 1.5708
43.1526 100 84.375 -100 15 -0 1.5708
43.3014 100 87.5 -100 15 -0 1.5708
43.4502 100 90.625 -100 15 -0 1.5708
43.599 100 93.75 -100 15 -0 1.5708
43.7478 100 96.875 -100 15 -0 1.5708
43.8966 100 100 -100 15 -0 1.5708
44.025 100 100 -100 15 -0 1.5708
44.1533 100 102.695 -100 15 -0 1.5708
44.2816 100 105.39 -100 15 -0 1.5708
44.4099 100 108.084 -100 15 -0 1.5708
44.5383 100 110.779 -100 15 -0 1.61504
44.7278 100 110.779 -100 15 -0 1.61504
44.9173 99.8241 114.752 -100 15 -0 1.70361
45.1068 99.2992 118.681 -100 15 -0 1.79243
45.2963 98.4333 122.523 -100 15 -0 1.88168
45.4858 97.2397 126.238 -100 15 -0 1.97154
45.6753 95.7367 129.786 -100 15 -0 2.06221
45.8648 93.9473 133.129 -100 15 -0 2.1539
46.0543 91.899 136.234 -100 15 -0 2.24686
46.2438 89.6231 139.072 -100 15 -0 2.34136
46.4333 87.1546 141.614 -100 15 -0 2.43772
46.6228 84.5313 143.841 -100 15 -0 2.53629
46.8123 81.7933 145.736 -100 15 -0 2.63751
47.0018 78.9828 147.286 -100 15 -0 2.74187
47.1914 76.1427 148.486 -100 15 -0 2.84995
47.3809 73.3166 149.335 -100 15 -0 2.96245
47.5704 70.5479 149.836 -100 15 -0 3.08019
47.7599 67.8789 150 -100 15 -0 3.14159
48.0685 67.8789 150 -100 15 -0 3.14159
48.3771 63.6365 150 -100 15 -0 3.14159
48.6856 59.3941 150 -100 15 -0 3.14159
48.9942 55.1516 150 -100 15 -0 3.14159
49.3028 50.9092 150 -100 15 -0 3.14159
49.6114 46.6668 150 -100 15 -0 3.14159
49.92 42.4243 150 -100 15 -0 3.14159
50.2286 38.1819 150 -100 15 -0 3.14159
50.5372 33.9395 150 -100 15 -0 3.14159
50.8458 29.697 150 -100 15 -0 3.14159
51.1544 25.4546 150 -100 15 -0 3.14159
51.463 21.2122 150 -100 15 -0 3.14159
51.7716 16.9697 150 -100 15 -0 3.14159
52.0802 12.7273 150 -100 15 -0 3.14159
52.3887 8.48487 150 -100 15 -0 3.14159
52.6973 4.24243 150 -100 15 -0 3.14159
53.0059 0 150 -100 15 -0 3.14159
53.2018 0 150 -100 15 -0 3.14159
53.3976 -2.69213 150 -100 15 -0 3.14159
53.5934 -5.38426 150 -100 15 -0 3.14159
53.7892 -8.07639 150 -100 15 -0 3.14159
53.985 -10.7685 150 -100 15 -0 3.14159
54.1809 -13.4606 150 -100 15 -0 3.14159
54.3767 -16.1528 150 -100 15 -0 3.14159
54.5725 -18.8449 150 -100 15 -0 3.14159
54.7683 -21.537 150 -100 15 -0 3.14159
54.9642 -24.2292 150 -100 15 -0 3.14159
55.16 -26.9213 150 -100 15 -0 3.14159
55.3558 -29.6134 150 -100 15 -0 3.14159
55.5516 -32.3056 150 -100 15 -0 3.14159
55.7475 -34.9977 150 -100 15 -0 3.14159
55.9433 -37.6898 150 -100 15 -0 3.14159
56.1391 -40.3819 150 -100 15 -0 3.14159
56.3349 -43.0741 150 -100 15 -0 3.14159
56.5308 -45.7662 150 -100 15 -0 3.14159
56.7266 -48.4583 150 -100 15 -0 3.14159
56.9224 -51.1505 150 -100 15 -0 3.14159
57.1182 -53.8426 150 -100 15 -0 3.14159
57.3141 -56.5347 150 -100 15 -0 3.14159
57.5099 -59.2269 150 -100 15 -0 3.14159
57.7057 -61.919 150 -100 15 -0 3.14159
57.9015 -64.6111 150 -100 15 -0 3.14159
58.0973 -67.3032 150 -100 15 -0 3.14159
58.2932 -69.9954 150 -100 15 -0 3.14159
58.489 -72.6875 150 -100 15 -0 3.14159
58.6848 -75.3796 150 -100 15 -0 3.14159
58.8806 -78.0718 150 -100 15 -0 3.14159
59.0765 -80.7639 150 -100 15 -0 3.14159
59.2723 -83.456 150 -100 15 -0 3.14159
59.4681 -86.1482 150 -100 15 -0 3.21515
59.6907 -86.1482 150 -100 15 -0 3.21515
59.9133 -89.1005 149.782 -100 15 -0 3.37091
60.3585 -91.7964 149.153 -100 15 -0 3.62666
60.8037 -96.1976 146.833 -100 15 -0 4.02235
61.2489 -98.9816 143.461 -100 15 -0 4.47871
61.694 -99.914 139.543 -100 15 -0 4.72061
62.1035 -99.914 139.543 -100 15 -0 4.72061
62.5129 -99.8838 135.859 -100 15 -0 4.72061
62.9223 -99.8535 132.174 -100 15 -0 4.72061
63.3317 -99.8232 128.489 -100 15 -0 4.72061
63.7411 -99.7929 124.805 -100 15 -0 4.72061
64.091 -99.7929 124.805 -100 15 -0 4.72061
64.441 -99.767 121.655 -100 15 -0 4.72061
64.7909 -99.7411 118.506 -100 15 -0 4.72061
65.1409 -99.7152 115.356 -100 15 -0 4.72061
65.4908 -99.6893 112.207 -100 15 -0 4.72061
65.8407 -99.6635 109.058 -100 15 -0 4.72061
66.1907 -99.6376 105.908 -100 15 -0 4.72061
66.5406 -99.6117 102.759 -100 15 -0 4.72061
66.8906 -99.5858 99.6094 -100 15 -0 4.70404
67.2351 -99.5858 99.6094 -100 15 -0 4.70404
67.5796 -99.6117 96.5088 -100 15 -0 4.70404
67.9241 -99.6376 93.4082 -100 15 -0 4.70404
68.2686 -99.6635 90.3076 -100 15 -0 4.70404
68.6132 -99.6893 87.207 -100 15 -0 4.70404
68.9577 -99.7152 84.1064 -100 15 -0 4.70404
69.3022 -99.7411 81.0059 -100 15 -0 4.70404
69.6467 -99.767 77.9053 -100 15 -0 4.70404
69.9912 -99.7929 74.8047 -100 15 -0 4.70404
70.3357 -99.7929 74.8047 -100 15 -0 4.70404
70.6803 -99.8188 71.7041 -100 15 -0 4.70404
71.0248 -99.8447 68.6035 -100 15 -0 4.70404
71.3693 -99.8706 65.5029 -100 15 -0 4.70404
71.7138 -99.8964 62.4023 -100 15 -0 4.70404
