time x y z V_A gamma chi
0 37.5 -170 -150 15 -0 0
0.312937 37.5 -170 -150 15 -0 0
0.625875 40.6294 -170 -150 15 -0 0
0.938812 43.7587 -170 -150 15 -0 0
1.25175 46.8881 -170 -150 15 -0 0
1.56469 50.0175 -170 -150 15 -0 0
1.87762 53.1469 -170 -150 15 -0 0
2.19056 56.2762 -170 -150 15 -0 0
2.5035 59.4056 -170 -150 15 -0 0
2.81644 62.535 -170 -150 15 -0 6.04984
3.29329 62.535 -170 -150 15 -0 6.04984
3.53172 67.1882 -171.106 -150 15 -0 5.71215
3.77014 69.301 -172.463 -150 15 -0 5.49995
4.00857 71.163 -174.317 -150 15 -0 5.30041
4.24699 72.7001 -176.623 -150 15 -0 5.11364
4.48542 73.8462 -179.324 -150 15 -0 4.93881
4.72385 74.5446 -182.356 -150 15 -0 4.77459
4.96227 74.7494 -185.644 -150 15 -0 4.69637
5.24666 74.7494 -185.644 -150 15 -0 4.69637
5.53106 74.6847 -189.688 -150 15 -0 4.69637
5.81545 74.6199 -193.733 -150 15 -0 4.69637
6.09984 74.5551 -197.777 -150 15 -0 4.69637
6.38423 74.4903 -201.821 -150 15 -0 4.69637
6.66862 74.4256 -205.865 -150 15 -0 4.69637
6.95301 74.3608 -209.909 -150 15 -0 4.69637
7.2374 74.296 -213.954 -150 15 -0 4.69637
7.52179 74.2312 -217.998 -150 15 -0 4.69637
7.80618 74.1664 -222.042 -150 15 -0 4.69637
8.09057 74.1017 -226.086 -150 15 -0 4.69637
8.37497 74.0369 -230.13 -150 15 -0 4.69637
8.65936 73.9721 -234.175 -150 15 -0 4.69637
8.94375 73.9073 -238.219 -150 15 -0 4.69637
9.22814 73.8426 -242.263 -150 15 -0 4.69637
9.51253 73.7778 -246.307 -150 15 -0 4.69637
9.79692 73.713 -250.352 -150 15 -0 4.69637
9.97393 73.713 -250.352 -150 15 -0 4.69637
10.1509 73.6727 -252.869 -150 15 -0 4.69637
10.3279 73.6324 -255.386 -150 15 -0 4.69637
10.505 73.5921 -257.903 -150 15 -0 4.69637
10.682 73.5517 -260.42 -150 15 0.0046178 4.61042
10.949 73.5517 -260.42 -150 15 0.0046178 4.61042
11.2161 73.1537 -264.31 -150.018 15 0.0275909 4.4464
11.4831 72.0658 -268.303 -150.132 15 0.0630582 4.29029
11.7502 70.2805 -272.278 -150.407 15 0.102831 4.14058
12.0173 67.8114 -276.115 -150.878 15 0.141355 3.99601
12.2843 64.693 -279.697 -151.554 15 0.175079 3.85554
12.4179 60.9796 -282.914 -152.423 15 0.196019 3.75248
12.5514 58.9217 -284.355 -152.922 15 0.207546 3.68449
12.6849 56.7434 -285.669 -153.458 15 0.217058 3.61708
12.8185 54.4563 -286.847 -154.025 15 0.224527 3.55016
12.952 52.0727 -287.879 -154.618 15 0.229958 3.48364
13.0855 49.6057 -288.757 -155.231 15 0.233387 3.41747
13.2191 47.0689 -289.476 -155.858 15 0.234878 3.35156
13.3526 44.4766 -290.028 -156.492 15 0.234524 3.28586
13.4861 41.8435 -290.411 -157.128 15 0.232445 3.2203
13.6197 39.1845 -290.62 -157.759 15 0.228789 3.15481
