time x y z V_A gamma chi
0 37.5 -170 -150 15 -0 0
0.236433 37.5 -170 -150 15 -0 0
0.472865 41.0465 -170 -150 15 -0 0
0.709298 44.593 -170 -150 15 -0 0
0.94573 48.1395 -170 -150 15 -0 0
1.18216 51.686 -170 -150 15 -0 6.18401
1.48556 51.686 -170 -150 15 -0 6.18401
1.78895 56.2071 -170.45 -150 15 -0 5.98566
2.09234 60.5509 -171.782 -150 15 -0 5.78731
2.39574 64.5471 -173.944 -150 15 -0 5.58896
2.69913 68.0389 -176.85 -150 15 -0 5.3906
3.00252 70.8895 -180.388 -150 15 -0 5.19225
3.30592 72.987 -184.419 -150 15 -0 4.9939
3.60931 74.2492 -188.783 -150 15 -0 4.79555
3.9127 74.6266 -193.311 -150 15 -0 4.69637
4.1504 74.6266 -193.311 -150 15 -0 4.69637
4.3881 74.5695 -196.876 -150 15 -0 4.69637
4.6258 74.5124 -200.441 -150 15 -0 4.69637
4.8635 74.4553 -204.006 -150 15 -0 4.69637
5.1012 74.3982 -207.571 -150 15 -0 4.69637
5.3389 74.3411 -211.136 -150 15 -0 4.69637
5.5766 74.284 -214.701 -150 15 -0 4.69637
5.8143 74.2269 -218.266 -150 15 -0 4.69637
6.052 74.1698 -221.831 -150 15 -0 4.69637
6.2897 74.1127 -225.396 -150 15 -0 4.69637
6.5274 74.0556 -228.961 -150 15 -0 4.69637
6.76509 73.9985 -232.526 -150 15 -0 4.69637
7.00279 73.9414 -236.091 -150 15 -0 4.69637
7.24049 73.8843 -239.656 -150 15 -0 4.69637
7.47819 73.8272 -243.221 -150 15 -0 4.69637
7.71589 73.7701 -246.787 -150 15 -0 4.69637
7.95359 73.713 -250.352 -150 15 -0 4.69637
8.22975 73.713 -250.352 -150 15 -0 4.69637
8.50591 73.6467 -254.493 -150 15 -0 4.69637
8.78207 73.5803 -258.635 -150 15 -0 4.69637
9.05823 73.514 -262.777 -150 15 -0 4.69637
9.33439 73.4477 -266.919 -150 15 -0 4.69637
9.61055 73.3813 -271.061 -150 15 -0 4.69637
9.88671 73.315 -275.203 -150 15 -0 4.69637
10.1629 73.2486 -279.345 -150 15 -0 4.69637
10.439 73.1823 -283.487 -150 15 0.00330029 4.62647
10.6529 73.1823 -283.487 -150 15 0.00330029 4.62647
10.8667 72.9072 -286.68 -150.011 15 0.0209082 4.48665
11.0806 72.1898 -289.804 -150.078 15 0.0504344 4.34683
11.2945 71.044 -292.797 -150.239 15 0.0863583 4.20702
11.5083 69.4923 -295.602 -150.517 15 0.123957 4.0672
11.7222 67.5648 -298.163 -150.916 15 0.159397 3.92739
11.936 65.2992 -300.43 -151.432 15 0.18979 3.78757
12.1499 62.7398 -302.36 -152.047 15 0.213188 3.64776
12.3638 59.9364 -303.914 -152.741 15 0.2285 3.50794
12.5776 56.9439 -305.062 -153.487 15 0.235405 3.36813
12.7915 53.8205 -305.782 -154.255 15 0.234281 3.22831
13.0053 50.6273 -306.059 -155.02 15 0.226194 3.08849
13.2192 47.4265 -305.889 -155.758 15 0.212938 2.94868
13.433 44.2807 -305.275 -156.451 15 0.197097 2.80886
13.6469 41.2513 -304.228 -157.091 15 0.18211 2.66905
13.8608 38.3973 -302.769 -157.681 15 0.172289 2.52923
14.0746 35.7744 -300.927 -158.239 15 0.172734 2.45932
14.2778 35.7744 -300.927 -158.239 15 0.172734 2.45932
14.4809 33.4444 -299.034 -158.763 15 0.172734 2.45932
14.6841 31.1143 -297.141 -159.287 15 0.172734 2.45932
14.8873 28.7843 -295.248 -159.81 15 0.172734 2.45932
15.0904 26.4542 -293.355 -160.334 15 0.172734 2.45932
15.2936 24.1242 -291.462 -160.858 15 0.172734 2.45932
15.4968 21.7942 -289.569 -161.382 15 0.172734 2.45932
15.6999 19.4641 -287.676 -161.906 15 0.172734 2.45932
15.9031 17.1341 -285.783 -162.429 15 0.172734 2.45932
16.1062 14.804 -283.89 -162.953 15 0.172734 2.45932
16.3094 12.474 -281.997 -163.477 15 0.172734 2.45932
16.5126 10.1439 -280.104 -164.001 15 0.172734 2.45932
16.7157 7.81389 -278.211 -164.524 15 0.172734 2.45932
16.9189 5.48385 -276.318 -165.048 15 0.172734 2.45932
17.122 3.15381 -274.425 -165.572 15 0.172734 2.45932
17.3252 0.823763 -272.532 -166.096 15 0.172734 2.45932
17.5284 -1.50628 -270.639 -166.62 15 0.172734 2.45932
17.7315 -3.83632 -268.746 -167.143 15 0.172734 2.45932
17.9347 -6.16637 -266.853 -167.667 15 0.172734 2.45932
18.1379 -8.49641 -264.96 -168.191 15 0.172734 2.45932
18.341 -10.8265 -263.067 -168.715 15 0.172734 2.45932
18.5442 -13.1565 -261.174 -169.238 15 0.172734 2.45932
18.7473 -15.4865 -259.281 -169.762 15 0.172734 2.45932
18.9505 -17.8166 -257.388 -170.286 15 0.172734 2.45932
19.1537 -20.1466 -255.495 -170.81 15 0.172734 2.45932
19.3568 -22.4767 -253.602 -171.334 15 0.172734 2.45932
19.56 -24.8067 -251.709 -171.857 15 0.172734 2.45932
19.7631 -27.1368 -249.816 -172.381 15 0.172734 2.45932
19.9663 -29.4668 -247.923 -172.905 15 0.172734 2.45932
20.1695 -31.7969 -246.03 -173.429 15 0.172734 2.45932
20.3726 -34.1269 -244.138 -173.952 15 0.172734 2.45932
20.5758 -36.4569 -242.245 -174.476 15 0.172734 2.45932
20.779 -38.787 -240.352 -175 15 0.172734 2.45932
20.9473 -38.787 -240.352 -175 15 0.172734 2.45932
21.1157 -40.7182 -238.783 -175.434 15 0.172734 2.45932
21.2841 -42.6494 -237.214 -175.868 15 0.172734 2.45932
21.4525 -44.5807 -235.645 -176.302 15 0.172734 2.45932
21.6209 -46.5119 -234.076 -176.737 15 0.172734 2.45932
21.7893 -48.4431 -232.507 -177.171 15 0.172734 2.45932
21.9577 -50.3743 -230.938 -177.605 15 0.172734 2.45932
22.1261 -52.3056 -229.369 -178.039 15 0.172734 2.45932
22.2944 -54.2368 -227.8 -178.473 15 0.172734 2.45932
22.4628 -56.168 -226.231 -178.907 15 0.172734 2.45932
22.6312 -58.0992 -224.662 -179.341 15 0.172734 2.45932
22.7996 -60.0304 -223.093 -179.775 15 0.172734 2.45932
22.968 -61.9617 -221.524 -180.21 15 0.172734 2.45932
23.1364 -63.8929 -219.955 -180.644 15 0.172734 2.45932
23.3048 -65.8241 -218.386 -181.078 15 0.172734 2.45932
23.4732 -67.7553 -216.817 -181.512 15 0.172734 2.45932
23.6415 -69.6866 -215.248 -181.946 15 0.172734 2.45932
23.8099 -71.6178 -213.679 -182.38 15 0.172734 2.45932
23.9783 -73.549 -212.11 -182.814 15 0.172734 2.45932
24.1467 -75.4802 -210.541 -183.248 15 0.172734 2.45932
24.3151 -77.4115 -208.972 -183.683 15 0.172734 2.45932
24.4835 -79.3427 -207.403 -184.117 15 0.172734 2.45932
24.6519 -81.2739 -205.834 -184.551 15 0.172734 2.45932
24.8203 -83.2051 -204.265 -184.985 15 0.172734 2.45932
24.9886 -85.1364 -202.696 -185.419 15 0.172734 2.45932
25.157 -87.0676 -201.127 -185.853 15 0.172734 2.45932
25.3254 -88.9988 -199.559 -186.287 15 0.172734 2.45932
25.4938 -90.93 -197.99 -186.721 15 0.172734 2.45932
25.6622 -92.8613 -196.421 -187.156 15 0.172734 2.45932
25.8306 -94.7925 -194.852 -187.59 15 0.172734 2.45932
25.999 -96.7237 -193.283 -188.024 15 0.172734 2.45932
26.1674 -98.6549 -191.714 -188.458 15 0.172734 2.45932
26.3357 -100.586 -190.145 -188.892 15 0.176139 2.38247
26.5709 -100.586 -190.145 -188.892 15 0.176139 2.38247
26.806 -103.104 -187.756 -189.51 15 0.192714 2.22876
27.0411 -105.226 -185.01 -190.187 15 0.218521 2.07506
27.2762 -106.903 -181.971 -190.958 15 0.246728 1.92135
27.5113 -108.095 -178.711 -191.832 15 0.271926 1.76764
27.7464 -108.774 -175.308 -192.8 15 0.290124 1.61393
27.9815 -108.924 -171.84 -193.836 15 0.298596 1.46022
28.2166 -108.541 -168.391 -194.904 15 0.295693 1.30652
28.4517 -107.634 -165.04 -195.961 15 0.280682 1.15281
