time x y z V_A gamma chi
0 12.5 -150 -200 15 -0 0
0.3125 12.5 -150 -200 15 -0 0
0.625 15.625 -150 -200 15 -0 0
0.9375 18.75 -150 -200 15 -0 0
1.25 21.875 -150 -200 15 -0 0
1.5625 25 -150 -200 15 -0 0
1.95312 25 -150 -200 15 -0 0
2.34375 28.9063 -150 -200 15 -0 0
2.73437 32.8125 -150 -200 15 -0 0
3.125 36.7188 -150 -200 15 -0 0
3.51562 40.625 -150 -200 15 -0 0
3.90625 44.5313 -150 -200 15 -0 0
4.29687 48.4375 -150 -200 15 -0 0
4.6875 52.3438 -150 -200 15 -0 0
5.07812 56.25 -150 -200 15 -0 0
5.46875 60.1563 -150 -200 15 -0 0
5.85937 64.0625 -150 -200 15 -0 0
6.25 67.9688 -150 -200 15 -0 0
6.64062 71.875 -150 -200 15 -0 0
7.03125 75.7813 -150 -200 15 -0 0
7.42187 79.6875 -150 -200 15 -0 0
7.8125 83.5938 -150 -200 15 -0 0
8.20312 87.5 -150 -200 15 -0 0
8.59375 87.5 -150 -200 15 -0 0
8.98437 91.4063 -150 -200 15 -0 0
9.375 95.3125 -150 -200 15 -0 0
9.76562 99.2188 -150 -200 15 -0 0
10.1562 103.125 -150 -200 15 -0 0
10.5469 107.031 -150 -200 15 -0 0
10.9375 110.938 -150 -200 15 -0 0
11.3281 114.844 -150 -200 15 -0 0
11.7187 118.75 -150 -200 15 -0 0
12.1094 122.656 -150 -200 15 -0 0
12.5 126.563 -150 -200 15 -0 0
12.8906 130.469 -150 -200 15 -0 0
13.2812 134.375 -150 -200 15 -0 0
13.6719 138.281 -150 -200 15 -0 0
14.0625 142.188 -150 -200 15 -0 0
14.4531 146.094 -150 -200 15 -0 0
14.8437 150 -150 -200 15 -0 0
15.3125 150 -150 -200 15 -0 0
15.7812 154.688 -150 -200 15 -0 0
16.25 159.375 -150 -200 15 -0 0
16.7187 164.063 -150 -200 15 -0 0
17.1875 168.75 -150 -200 15 -0 0
17.6562 173.438 -150 -200 15 -0 0
18.125 178.125 -150 -200 15 -0 0
18.5937 182.813 -150 -200 15 -0 0
19.0625 187.5 -150 -200 15 -0 0
19.5312 192.188 -150 -200 15 -0 0
20 196.875 -150 -200 15 -0 0
20.4687 201.563 -150 -200 15 -0 0
20.9375 206.25 -150 -200 15 -0 0
21.4062 210.938 -150 -200 15 -0 0
21.875 215.625 -150 -200 15 -0 0
22.3437 220.313 -150 -200 15 -0 0
22.8125 225 -150 -200 15 -0 0
23.2812 225 -150 -200 15 -0 0
23.75 229.688 -150 -200 15 -0 0
