time x y z V_A gamma chi
0 37.5 0 0 15 -0 0
0.3125 37.5 0 0 15 -0 0
0.625 42.1875 0 0 15 -0 0
0.9375 46.875 0 0 15 -0 0
1.25 51.5625 0 0 15 -0 0
1.5625 56.25 0 0 15 -0 0
1.875 60.9375 0 0 15 -0 0
2.1875 65.625 0 0 15 -0 0
2.5 70.3125 0 0 15 -0 0
2.8125 75 0 0 15 0.0920468 0
2.98249 75 0 0 15 0.0920468 0
3.15248 77.5391 0 -0.234375 15 0.0920468 0
3.32247 80.0781 0 -0.46875 15 0.0920468 0
3.49246 82.6172 0 -0.703125 15 0.0920468 0
3.66245 85.1563 0 -0.9375 15 0.0920468 0
3.83244 87.6953 0 -1.17188 15 0.0920468 0
4.00243 90.2344 0 -1.40625 15 0.0920468 0
4.17242 92.7734 0 -1.64062 15 0.0920468 0
4.34241 95.3125 0 -1.875 15 0.0920468 0
4.5124 97.8516 0 -2.10938 15 0.0920468 0
4.6824 100.391 0 -2.34375 15 0.0920468 0
4.85239 102.93 0 -2.57813 15 0.0920468 0
5.02238 105.469 0 -2.8125 15 0.0920468 0
5.19237 108.008 0 -3.04688 15 0.0920468 0
5.36236 110.547 0 -3.28125 15 0.0920468 0
5.53235 113.086 0 -3.51562 15 0.0920468 0
5.70234 115.625 0 -3.75 15 0.0920468 0
5.87233 118.164 0 -3.98438 15 0.0920468 0
6.04232 120.703 0 -4.21875 15 0.0920468 0
6.21231 123.242 0 -4.45313 15 0.0920468 0
6.3823 125.781 0 -4.6875 15 0.0920468 0
6.55229 128.32 0 -4.92187 15 0.0920468 0
6.72228 130.859 0 -5.15625 15 0.0920468 0
6.89227 133.398 0 -5.39063 15 0.0920468 0
7.06226 135.938 0 -5.625 15 0.0920468 0
7.23225 138.477 0 -5.85938 15 0.0920468 0
7.40224 141.016 0 -6.09375 15 0.0920468 0
7.57223 143.555 0 -6.32812 15 0.0920468 0
7.74222 146.094 0 -6.5625 15 0.0920468 0
7.91221 148.633 0 -6.79687 15 0.0920468 0
8.0822 151.172 0 -7.03125 15 0.0920468 0
8.25219 153.711 0 -7.26562 15 0.0920468 0
8.42219 156.25 0 -7.5 15 0.0920468 0
8.59218 158.789 0 -7.73438 15 0.0920468 0
8.76217 161.328 0 -7.96875 15 0.0920468 0
8.93216 163.867 0 -8.20313 15 0.0920468 0
9.10215 166.406 0 -8.4375 15 0.0920468 0
9.27214 168.945 0 -8.67188 15 0.0920468 0
9.44213 171.484 0 -8.90625 15 0.0920468 0
9.61212 174.023 0 -9.14063 15 0.0920468 0
9.78211 176.563 0 -9.375 15 0.0920468 0
9.9521 179.102 0 -9.60938 15 0.0920468 0
10.1221 181.641 0 -9.84375 15 0.0920468 0
10.2921 184.18 0 -10.0781 15 0.0920468 0
10.4621 186.719 0 -10.3125 15 0.0920468 0
10.6321 189.258 0 -10.5469 15 0.0920468 0
10.8021 191.797 0 -10.7813 15 0.0920468 0
10.972 194.336 0 -11.0156 15 0.0920468 0
11.142 196.875 0 -11.25 15 0.0920468 0
11.312 199.414 0 -11.4844 15 0.0920468 0
11.482 201.953 0 -11.7188 15 0.0920468 0
11.652 204.492 0 -11.9531 15 0.0920468 0
11.822 207.031 0 -12.1875 15 0.0920468 0
11.992 209.57 0 -12.4219 15 0.0920468 0
12.162 212.109 0 -12.6562 15 0.0920468 0
12.332 214.648 0 -12.8906 15 0.0920468 0
12.502 217.188 0 -13.125 15 0.0920468 0
12.6719 219.727 0 -13.3594 15 0.0920468 0
12.8419 222.266 0 -13.5937 15 0.0920468 0
13.0119 224.805 0 -13.8281 15 0.0920468 0
13.1819 227.344 0 -14.0625 15 0.0920468 0
13.3519 229.883 0 -14.2969 15 0.0920468 0
13.5219 232.422 0 -14.5312 15 0.0920468 0
13.6919 234.961 0 -14.7656 15 0.0920468 0
13.8619 237.5 0 -15 15 0.0920468 0
14.0319 237.5 0 -15 15 0.0920468 0
14.2019 240.039 0 -15.2344 15 0.0920468 0
14.3719 242.578 0 -15.4688 15 0.0920468 0
14.5418 245.117 0 -15.7031 15 0.0920468 0
14.7118 247.656 0 -15.9375 15 0.0920468 0
14.8818 250.195 0 -16.1719 15 0.0920468 0
15.0518 252.734 0 -16.4063 15 0.0920468 0
15.2218 255.273 0 -16.6406 15 0.0920468 0
15.3918 257.813 0 -16.875 15 0.0920468 0
15.5618 260.352 0 -17.1094 15 0.0920468 0
15.7318 262.891 0 -17.3438 15 0.0920468 0
15.9018 265.43 0 -17.5781 15 0.0920468 0
16.0718 267.969 0 -17.8125 15 0.0920468 0
16.2417 270.508 0 -18.0469 15 0.0920468 0
16.4117 273.047 0 -18.2813 15 0.0920468 0
16.5817 275.586 0 -18.5156 15 0.0920468 0
16.7517 278.125 0 -18.75 15 0.0920468 0
16.9217 280.664 0 -18.9844 15 0.0920468 0
17.0917 283.203 0 -19.2188 15 0.0920468 0
17.2617 285.742 0 -19.4531 15 0.0920468 0
17.4317 288.281 0 -19.6875 15 0.0920468 0
17.6017 290.82 0 -19.9219 15 0.0920468 0
17.7717 293.359 0 -20.1563 15 0.0920468 0
17.9417 295.898 0 -20.3906 15 0.0920468 0
18.1116 298.438 0 -20.625 15 0.0920468 0
18.2816 300.977 0 -20.8594 15 0.0920468 0
18.4516 303.516 0 -21.0938 15 0.0920468 0
18.6216 306.055 0 -21.3281 15 0.0920468 0
18.7916 308.594 0 -21.5625 15 0.0920468 0
18.9616 311.133 0 -21.7969 15 0.0920468 0
19.1316 313.672 0 -22.0313 15 0.0920468 0
19.3016 316.211 0 -22.2656 15 0.0920468 0
19.4716 318.75 0 -22.5 15 0.0920468 0
19.6416 321.289 0 -22.7344 15 0.0920468 0
19.8115 323.828 0 -22.9688 15 0.0920468 0
19.9815 326.367 0 -23.2031 15 0.0920468 0
20.1515 328.906 0 -23.4375 15 0.0920468 0
20.3215 331.445 0 -23.6719 15 0.0920468 0
20.4915 333.984 0 -23.9063 15 0.0920468 0
20.6615 336.523 0 -24.1406 15 0.0920468 0
20.8315 339.063 0 -24.375 15 0.0920468 0
21.0015 341.602 0 -24.6094 15 0.0920468 0
21.1715 344.141 0 -24.8438 15 0.0920468 0
21.3415 346.68 0 -25.0781 15 0.0920468 0
21.5115 349.219 0 -25.3125 15 0.0920468 0
21.6814 351.758 0 -25.5469 15 0.0920468 0
21.8514 354.297 0 -25.7813 15 0.0920468 0
22.0214 356.836 0 -26.0156 15 0.0920468 0
22.1914 359.375 0 -26.25 15 0.0920468 0
22.3614 361.914 0 -26.4844 15 0.0920468 0
22.5314 364.453 0 -26.7188 15 0.0920468 0
22.7014 366.992 0 -26.9531 15 0.0920468 0
22.8714 369.531 0 -27.1875 15 0.0920468 0
23.0414 372.07 0 -27.4219 15 0.0920468 0
23.2114 374.609 0 -27.6563 15 0.0920468 0
23.3813 377.148 0 -27.8906 15 0.0920468 0
23.5513 379.688 0 -28.125 15 0.0920468 0
23.7213 382.227 0 -28.3594 15 0.0920468 0
23.8913 384.766 0 -28.5938 15 0.0920468 0
24.0613 387.305 0 -28.8281 15 0.0920468 0
24.2313 389.844 0 -29.0625 15 0.0920468 0
24.4013 392.383 0 -29.2969 15 0.0920468 0
24.5713 394.922 0 -29.5313 15 0.0920468 0
24.7413 397.461 0 -29.7656 15 0.0920468 0
24.9113 400 0 -30 15 -0 0
25.1196 400 0 -30 15 -0 0
25.3279 403.125 0 -30 15 -0 0
25.5363 406.25 0 -30 15 -0 0
25.7446 409.375 0 -30 15 -0 0
25.9529 412.5 0 -30 15 -0 0
26.1613 415.625 0 -30 15 -0 0
26.3696 418.75 0 -30 15 -0 0
26.5779 421.875 0 -30 15 -0 0
26.7863 425 0 -30 15 -0 0
