time x y z V_A gamma chi
0 37.5 0 0 15 -0 0
0.520833 37.5 0 0 15 -0 0
1.04167 42.1875 0 0 15 -0 0
1.5625 46.875 0 0 15 -0 0
2.08333 51.5625 0 0 15 -0 0
2.60417 56.25 0 0 15 -0 0
3.125 60.9375 0 0 15 -0 0
3.64583 65.625 0 0 15 -0 0
4.16667 70.3125 0 0 15 -0 0
4.6875 75 0 0 15 0.0920468 0
4.97034 75 0 0 15 0.0920468 0
5.25318 77.5391 0 -0.234375 15 0.0920468 0
5.53601 80.0781 0 -0.46875 15 0.0920468 0
5.81885 82.6172 0 -0.703125 15 0.0920468 0
6.10169 85.1563 0 -0.9375 15 0.0920468 0
6.38453 87.6953 0 -1.17188 15 0.0920468 0
6.66737 90.2344 0 -1.40625 15 0.0920468 0
6.9502 92.7734 0 -1.64063 15 0.0920468 0
7.23304 95.3125 0 -1.875 15 0.0920468 0
7.51588 97.8516 0 -2.10938 15 0.0920468 0
7.79872 100.391 0 -2.34375 15 0.0920468 0
8.08156 102.93 0 -2.57813 15 0.0920468 0
8.36439 105.469 0 -2.8125 15 0.0920468 0
8.64723 108.008 0 -3.04688 15 0.0920468 0
8.93007 110.547 0 -3.28125 15 0.0920468 0
9.21291 113.086 0 -3.51563 15 0.0920468 0
9.49574 115.625 0 -3.75 15 0.0920468 0
9.77858 118.164 0 -3.98437 15 0.0920468 0
10.0614 120.703 0 -4.21875 15 0.0920468 0
10.3443 123.242 0 -4.45313 15 0.0920468 0
10.6271 125.781 0 -4.6875 15 0.0920468 0
10.9099 128.32 0 -4.92188 15 0.0920468 0
11.1928 130.859 0 -5.15625 15 0.0920468 0
11.4756 133.398 0 -5.39063 15 0.0920468 0
11.7584 135.938 0 -5.625 15 0.0920468 0
12.0413 138.477 0 -5.85938 15 0.0920468 0
12.3241 141.016 0 -6.09375 15 0.0920468 0
12.607 143.555 0 -6.32813 15 0.0920468 0
12.8898 146.094 0 -6.5625 15 0.0920468 0
13.1726 148.633 0 -6.79688 15 0.0920468 0
13.4555 151.172 0 -7.03125 15 0.0920468 0
13.7383 153.711 0 -7.26563 15 0.0920468 0
14.0212 156.25 0 -7.5 15 0.0920468 0
14.304 158.789 0 -7.73438 15 0.0920468 0
14.5868 161.328 0 -7.96875 15 0.0920468 0
14.8697 163.867 0 -8.20312 15 0.0920468 0
15.1525 166.406 0 -8.4375 15 0.0920468 0
15.4353 168.945 0 -8.67188 15 0.0920468 0
15.7182 171.484 0 -8.90625 15 0.0920468 0
16.001 174.023 0 -9.14063 15 0.0920468 0
16.2839 176.563 0 -9.375 15 0.0920468 0
16.5667 179.102 0 -9.60938 15 0.0920468 0
16.8495 181.641 0 -9.84375 15 0.0920468 0
17.1324 184.18 0 -10.0781 15 0.0920468 0
17.4152 186.719 0 -10.3125 15 0.0920468 0
17.698 189.258 0 -10.5469 15 0.0920468 0
17.9809 191.797 0 -10.7813 15 0.0920468 0
18.2637 194.336 0 -11.0156 15 0.0920468 0
18.5466 196.875 0 -11.25 15 0.0920468 0
18.8294 199.414 0 -11.4844 15 0.0920468 0
19.1122 201.953 0 -11.7188 15 0.0920468 0
19.3951 204.492 0 -11.9531 15 0.0920468 0
19.6779 207.031 0 -12.1875 15 0.0920468 0
19.9607 209.57 0 -12.4219 15 0.0920468 0
20.2436 212.109 0 -12.6563 15 0.0920468 0
20.5264 214.648 0 -12.8906 15 0.0920468 0
20.8093 217.188 0 -13.125 15 0.0920468 0
