time x y z V_A gamma chi
0 37.5 0 0 15 -0 0
3.64583 65.625 0 0 15 -0 0
6.10169 85.1563 0 -0.9375 15 0.0920468 0
8.08156 102.93 0 -2.57813 15 0.0920468 0
10.0614 120.703 0 -4.21875 15 0.0920468 0
12.0413 138.477 0 -5.85938 15 0.0920468 0
14.0212 156.25 0 -7.5 15 0.0920468 0
16.001 174.023 0 -9.14063 15 0.0920468 0
17.9809 191.797 0 -10.7813 15 0.0920468 0
19.9607 209.57 0 -12.4219 15 0.0920468 0
21.9406 227.344 0 -14.0625 15 0.0920468 0
23.9205 242.578 0 -15.4688 15 0.0920468 0
25.9003 260.352 0 -17.1094 15 0.0920468 0
27.8802 278.125 0 -18.75 15 0.0920468 0
29.8601 295.898 0 -20.3906 15 0.0920468 0
31.8399 313.672 0 -22.0313 15 0.0920468 0
33.8198 331.445 0 -23.6719 15 0.0920468 0
35.7997 349.219 0 -25.3125 15 0.0920468 0
37.7795 366.992 0 -26.9531 15 0.0920468 0
39.7594 384.766 0 -28.5938 15 0.0920468 0
41.8037 400 0 -30 15 -0 0
44.2342 421.875 0 -30 15 -0 0
46.5234 436.254 0 -30 15 -0.000356976 0.0204818
49.1761 459.932 3.41445 -29.752 15 -0.0232357 0.304596
51.9469 480.606 10.2969 -29.2404 15 -0.0235204 0.324541
54.7374 504.91 18.4737 -28.6371 15 -0.0235204 0.324541
57.528 529.214 26.6505 -28.0339 15 -0.0235204 0.324541
60.3185 553.518 34.8273 -27.4306 15 -0.0235204 0.324541
63.1676 574.35 41.8359 -26.9136 15 -0.0235204 0.324541
66.3681 602.224 51.2139 -26.2217 15 -0.0235204 0.324541
68.5148 618.773 53.5078 -25.8 15 -0.0281632 6.05734
70.4859 634.822 44.3435 -25.2516 15 -0.0276711 5.4126
72.457 644.641 24.5334 -24.7495 15 -0.0142901 4.89571
74.4281 644.407 -2.42239 -24.5611 15 0.00149114 4.47692
76.3962 634.595 -27.6213 -24.6893 15 0.00671232 4.1898
77.8985 624.928 -44.3271 -24.8188 15 0.00669744 4.1509
79.0961 612.259 -61.3937 -24.9711 15 0.00814511 3.97448
80.2936 595.975 -76.8395 -25.1791 15 0.010803 3.80475
81.4912 576.522 -89.9106 -25.4604 15 0.0134747 3.63984
82.6888 554.499 -99.969 -25.8098 15 0.0154873 3.47827
83.8863 530.629 -106.524 -26.2068 15 0.0165385 3.31884
85.0839 505.726 -109.255 -26.6243 15 0.0166162 3.16049
86.2814 480.657 -108.029 -27.0359 15 0.0159705 3.00225
87.479 456.293 -102.907 -27.4246 15 0.0151296 2.84317
88.6765 433.473 -94.1369 -27.7907 15 0.0149252 2.69381
89.8409 418.298 -86.8479 -28.042 15 0.0149252 2.69381
91.0174 396.899 -76.5695 -28.3963 15 0.0149252 2.69381
92.1939 375.5 -66.291 -28.7507 15 0.0149252 2.69381
93.3703 354.1 -56.0125 -29.105 15 0.0149252 2.69381
94.5468 332.701 -45.7341 -29.4594 15 0.0148951 2.68351
96.1245 309.177 -32.5869 -29.8195 15 0.00973674 2.5588
97.7022 284.828 -14.2417 -29.9936 15 0.00103654 2.41028
99.0573 270 0 -30 15 -0 2.35619
100.484 250.214 15.281 -29.9243 15 -0.00902114 2.62896
101.362 234.15 22.7725 -29.69 15 -0.0186515 2.80525
102.24 216.608 27.4666 -29.286 15 -0.0262906 2.979
103.118 198.3 29.091 -28.7688 15 -0.0295034 3.15158
104.08 181.05 28.7389 -28.259 15 -0.029544 3.16388
105.055 160.588 28.2826 -27.6541 15 -0.029544 3.16388
106.031 140.126 27.8264 -27.0493 15 -0.029544 3.16388
107.006 119.663 27.3702 -26.4444 15 -0.029544 3.16388
108 102.124 26.9791 -25.9259 15 -0.029544 3.16388
109 83.7231 26.4299 -25.3829 15 -0.0285668 3.23106
109.864 65.9996 23.3862 -24.9371 15 -0.0177307 3.41991
111.098 45.1234 14.8856 -24.7601 15 0.0072721 3.68047
112.825 20.3269 -6.24378 -25.5408 15 0.0449053 4.08409
114.552 8.10444 -31.7645 -27.1249 15 0.0663324 4.53539
116.279 8.95979 -54.7625 -28.7398 15 0.072893 5.08493
118.292 17.85 -71.7188 -30.1852 15 0.0758894 5.22288
120.636 28.7463 -91.1764 -31.8808 15 0.0758894 5.22288
123.169 41.4256 -110.849 -33.6847 15 0.076834 5.43337
125.778 61.063 -127.38 -35.516 15 0.0576496 5.7989
128.386 83.6746 -134.762 -36.5139 15 0.0172024 6.20117
130.995 106.929 -132.547 -36.472 15 -0.0244369 0.327544
133.604 128.455 -120.869 -35.6349 15 -0.0391658 0.683554
136.72 148.869 -104.241 -34.6032 15 -0.0391658 0.683554
139.175 165.239 -90.9066 -33.7758 15 -0.0391658 0.683554
141.366 181.978 -77.2719 -32.9298 15 -0.0391658 0.683554
143.556 198.717 -63.6372 -32.0839 15 -0.0391658 0.683554
