time x y z V_A gamma chi
0 37.5 0 -30 15 -0 0
0.118272 37.5 0 -30 15 -0 0
0.236544 39.2741 0 -30 15 -0 0
0.354817 41.0482 0 -30 15 -0 0
0.473089 42.8223 0 -30 15 -0 0
0.591361 44.5963 0 -30 15 -0 0
0.709633 46.3704 0 -30 15 -0 0
0.827906 48.1445 0 -30 15 -0 0
0.946178 49.9186 0 -30 15 -0 0
1.06445 51.6927 0 -30 15 -3.26863e-005 6.27772
1.16057 51.6927 0 -30 15 -3.26863e-005 6.27772
1.25669 53.1344 -0.00788395 -30 15 -0.000224242 6.26678
1.35281 54.5761 -0.0315349 -29.9996 15 -0.000594865 6.25584
1.44893 56.0173 -0.0709499 -29.9988 15 -0.00113104 6.24491
1.54505 57.4581 -0.126124 -29.9971 15 -0.00181936 6.23397
1.64117 58.8981 -0.197052 -29.9945 15 -0.00264657 6.22304
1.73729 60.3373 -0.283723 -29.9907 15 -0.00359949 6.2121
1.83342 61.7755 -0.386129 -29.9855 15 -0.0046651 6.20116
1.92954 63.2124 -0.504256 -29.9788 15 -0.00583047 6.19023
2.02566 64.648 -0.638091 -29.9704 15 -0.00708281 6.17929
2.12178 66.082 -0.787618 -29.9602 15 -0.00840944 6.16835
2.2179 67.5144 -0.952818 -29.948 15 -0.00979778 6.15742
2.31402 68.9448 -1.13367 -29.9339 15 -0.0112354 6.14648
2.41014 70.3731 -1.33016 -29.9177 15 -0.01271 6.13555
2.50626 71.7992 -1.54225 -29.8994 15 -0.0142094 6.12461
2.60238 73.223 -1.76993 -29.8789 15 -0.0157214 6.11367
2.6985 74.6441 -2.01317 -29.8562 15 -0.0172342 6.10274
2.79462 76.0625 -2.27193 -29.8314 15 -0.0187359 6.0918
2.89074 77.478 -2.54619 -29.8044 15 -0.0202148 6.08086
2.98686 78.8904 -2.83591 -29.7752 15 -0.0216593 6.06993
3.08298 80.2995 -3.14106 -29.744 15 -0.0230579 6.05899
3.17911 81.7052 -3.4616 -29.7107 15 -0.0243993 6.04806
3.27523 83.1074 -3.7975 -29.6755 15 -0.0256724 6.03712
3.37135 84.5057 -4.14871 -29.6385 15 -0.0268659 6.02618
3.46747 85.9002 -4.51519 -29.5998 15 -0.027969 6.01525
3.56359 87.2905 -4.8969 -29.5594 15 -0.0289707 6.00431
3.65971 88.6766 -5.29379 -29.5177 15 -0.0298605 5.99337
3.75583 90.0583 -5.70582 -29.4746 15 -0.0306276 5.98244
