time x y z V_A gamma chi
0 37.5 0 -30 15 -0 0
0.288284 37.5 0 -30 15 -0 0
0.576567 40.0946 0 -30 15 -0 0
0.864851 42.6891 0 -30 15 -0 0
1.15313 45.2837 0 -30 15 -0 0
1.44142 47.8782 0 -30 15 0.000526128 6.26667
1.81005 47.8782 0 -30 15 0.000526128 6.26667
2.17867 51.1955 -0.0548047 -30.0017 15 0.0035318 6.23364
2.5473 54.5106 -0.219197 -30.0135 15 0.00912817 6.20064
2.91593 57.8214 -0.493113 -30.0438 15 0.0168646 6.16769
3.28456 61.1257 -0.876445 -30.0999 15 0.0262944 6.13481
3.65319 64.4212 -1.36904 -30.1875 15 0.036976 6.10202
4.02182 67.706 -1.97071 -30.3111 15 0.0484762 6.06934
4.39044 70.9777 -2.68121 -30.4735 15 0.0603721 6.03679
4.75907 74.2343 -3.50027 -30.6765 15 0.0722541 6.00437
5.1277 77.4735 -4.42757 -30.9203 15 0.0837285 5.97212
5.49633 80.6933 -5.46273 -31.2042 15 0.0944199 5.94005
5.86496 83.8915 -6.60535 -31.5258 15 0.103972 5.90817
6.23359 87.066 -7.85499 -31.8818 15 0.11205 5.87649
6.60221 90.2147 -9.21116 -32.2676 15 0.118339 5.84503
6.97084 93.3354 -10.6733 -32.6773 15 0.122542 5.8138
7.33947 96.4261 -12.2409 -33.1041 15 0.124382 5.78282
7.7081 99.4847 -13.9132 -33.54 15 0.125045 5.76645
8.02223 99.4847 -13.9132 -33.54 15 0.125045 5.76645
8.33637 102.063 -15.3783 -33.9127 15 0.125045 5.76645
8.65051 104.641 -16.8433 -34.2854 15 0.125045 5.76645
8.96464 107.219 -18.3083 -34.6582 15 0.125045 5.76645
9.27878 109.797 -19.7733 -35.0309 15 0.125045 5.76645
9.59292 112.376 -21.2383 -35.4037 15 0.125045 5.76645
9.90705 114.954 -22.7033 -35.7764 15 0.125045 5.76645
10.2212 117.532 -24.1684 -36.1492 15 0.125045 5.76645
10.5353 120.11 -25.6334 -36.5219 15 0.125045 5.76645
10.8495 122.688 -27.0984 -36.8947 15 0.125045 5.76645
11.1636 125.266 -28.5634 -37.2674 15 0.125045 5.76645
11.4777 127.844 -30.0284 -37.6402 15 0.125045 5.76645
11.7919 130.423 -31.4934 -38.0129 15 0.125045 5.76645
12.106 133.001 -32.9585 -38.3856 15 0.125045 5.76645
12.4201 135.579 -34.4235 -38.7584 15 0.125045 5.76645
12.7343 138.157 -35.8885 -39.1311 15 0.125045 5.76645
13.0484 140.735 -37.3535 -39.5039 15 0.125045 5.76645
13.5479 140.735 -37.3535 -39.5039 15 0.125045 5.76645
14.0474 144.835 -39.6829 -40.0966 15 0.125045 5.76645
14.5469 148.934 -42.0123 -40.6892 15 0.125045 5.76645
15.0463 153.033 -44.3417 -41.2819 15 0.125045 5.76645
15.5458 157.133 -46.6711 -41.8746 15 0.125045 5.76645
16.0453 161.232 -49.0005 -42.4672 15 0.125045 5.76645
16.5448 165.331 -51.3299 -43.0599 15 0.125045 5.76645
17.0443 169.431 -53.6593 -43.6526 15 0.125045 5.76645
17.5438 173.53 -55.9887 -44.2453 15 0.145667 5.95483
17.9655 173.53 -55.9887 -44.2453 15 0.145667 5.95483
18.3873 177.168 -57.2282 -44.8091 15 0.22069 0.0660487
18.8091 180.924 -56.9797 -45.6537 15 0.290553 0.454956
19.2308 184.445 -55.2573 -46.8257 15 0.310396 0.810939
19.6526 187.39 -52.1579 -48.1971 15 0.276995 1.12405
19.8635 189.451 -47.856 -49.5532 15 0.227834 1.33193
20.0744 190.067 -45.3275 -50.1566 15 0.188545 1.46057
20.2853 190.369 -42.5936 -50.6815 15 0.148678 1.5821
20.4962 190.336 -39.6931 -51.1159 15 0.112129 1.69751
20.707 189.951 -36.6669 -51.4594 15 0.0829306 1.8077
20.9179 189.2 -33.5577 -51.7253 15 0.0651983 1.91346
21.1288 188.077 -30.4094 -51.9436 15 0.061131 1.96436
21.3637 188.077 -30.4094 -51.9436 15 0.061131 1.96436
21.5985 186.618 -26.8945 -52.1765 15 0.061131 1.96436
21.8225 186.618 -26.8945 -52.1765 15 0.061131 1.96436
22.0464 185.226 -23.5433 -52.3986 15 0.05987 2.0079
22.3344 185.226 -23.5433 -52.3986 15 0.05987 2.0079
22.6224 183.217 -19.244 -52.683 15 0.0564969 2.09295
22.7664 180.773 -14.9955 -52.9603 15 0.053214 2.15528
22.9104 179.389 -12.9041 -53.0938 15 0.0506471 2.19631
23.0544 177.899 -10.8419 -53.2228 15 0.0478091 2.23691
23.1984 176.306 -8.8142 -53.3462 15 0.0447139 2.27711
23.3423 174.61 -6.8263 -53.4631 15 0.0413772 2.31694
23.4863 172.814 -4.88335 -53.5726 15 0.0378158 2.35642
23.6303 170.92 -2.99039 -53.674 15 0.0340484 2.39558
23.7743 168.931 -1.15232 -53.7662 15 0.0300949 2.43444
23.9183 166.85 0.626082 -53.8486 15 0.0259768 2.47303
24.0623 164.68 2.34021 -53.9205 15 0.021717 2.51136
24.2063 162.425 3.9856 -53.9811 15 0.0173401 2.54945
24.3503 160.087 5.55801 -54.03 15 0.0128721 2.58732
24.4943 157.671 7.05333 -54.0665 15 0.00834074 2.62499
24.6383 155.181 8.46771 -54.0904 15 0.00377536 2.66248
